id,runtime,horizon,clustering
06e1a1a2f8c4f0272bfe,25.4044,10,30
0a1c935824918f7402b5,54.3595,10,90
0f33c47d71b4ee152052,8.4235,10,14
0f6a33c4a30ec029a2d8,17.1815,10,45
12be153ca972f4b54271,7.983,10,14
1888ae840dfb1e0d551e,7.3401,10,14
1cb4e18abcd35dbd14a3,49.7165,10,90
20620bf17b74ea9e29f2,24.345,10,30
23aa8026a456ce985d26,21.065,10,45
260ae895f9b0ca467ce5,63.4555,10,90
27c691be67e2ea1b7335,284.1525,10,180
27f02eb8d1d3d9b0515b,7.659,10,14
289d81499e0bc76a013c,23.9249,10,30
2a4ca2ad32f32c6bc8f7,44.2483,10,90
2ff3f8b33ea3cc34144a,21.394,10,60
30a20aaf344f3aa676f1,7.6563,10,14
30a4f037c1af8ef3377e,17.3675,10,45
30fe46b1583de2b6a1a1,27.38,10,30
3649c4a77450a0aac984,509.354,10,180
3c0076ed940c4af3652a,24.3015,10,30
3cc17c4637d8ff25a8b8,244.3005,10,180
4126e97e11e2d00bd674,17.8185,10,45
425fcc0f67966cf4c9a0,251.6866,10,180
4607bbef46ec15203259,23.493,10,60
46156cbea55629505e1b,16.9205,10,45
46509eb335916b3e9057,51.882,10,90
46581ad16e0d0c603d87,20.854,10,60
4c2d1f2698a248d2c046,23.7458,10,60
505cd54d0f786eed3df3,447.612,10,180
5123bff8af0044d170e1,292.8654,10,180
515d311c3cf538be5879,11.0865,10,14
520a0d605b9919a5b286,7.705,10,14
545d3aa1b5e873ba6cd8,325.593,10,180
60af9dbca3227dbfc188,7.738,10,14
63b0e9a7ac1db2f21d07,20.8115,10,60
63fe290d37cd3677a702,24.0815,10,30
6498bd6cdea53c4a766f,59.072,10,90
67eb98ec034855089646,7.4815,10,14
681a2bdc5562e95d56a1,23.679,10,30
7034b426f680e8793b62,27.8795,10,30
7048e65d5998b74d24b0,475.3285,10,180
7233c206025329653eff,51.193,10,90
740c7a6419215583744f,34.049,10,60
78f56520a1e4e38bff39,47.1236,10,90
7df6781c4514e345f8eb,24.126,10,60
7f993da09d175fdfd988,8.199,10,14
85dd8561a6684f7978d8,24.2445,10,30
874ac8a0dfa137645283,25.4145,10,60
87c529c16bcf8a79db90,8.8695,10,14
8c69c068299262e17976,15.8626,10,45
8eba26dfd9d88e75ddc1,37.836,10,90
907692ab4d76c9ce2a1a,28.068,10,60
92d87ef6d04512935782,8.6645,10,14
96dfdf175a50b7d5ea66,233.72,10,180
990bc584ea8cfabe777d,25.4005,10,60
9d59b7155e412600cea4,7.5304,10,14
a2ca0b5e9b22600076b6,24.3623,10,30
a38a601d4e7d757bb106,19.329,10,45
a476b6bea2933cd380b7,52.7444,10,90
a60c41883e358d231946,25.3495,10,60
a6e616ae524542469ba2,14.0996,10,45
ae3e82c6b0e6ee812a2c,314.88,10,180
b3cf63490bef23b7b272,21.8695,10,60
b76c850546996afa63ce,27.184,10,30
ba7e1a9f335bf4d2b1dd,27.1339,10,30
bb4a9c0fe18c158cd407,16.485,10,45
bb557ff42cdc291b868e,15.0685,10,45
bbb18224e4ef5e024202,16.7341,10,45
bc7c26c5c0964e299efd,293.767,10,180
bf7bcba468a9d8f4af04,288.977,10,180
c0a6ba050197c71f945b,15.41,10,45
c6f3f15199eadb20c501,26.719,10,30
d04f7446b6aef1acd5b1,260.2626,10,180
d1e425375d7f1f75be96,45.8242,10,90
d29bce5fee326fbf648b,16.758,10,45
d4046abbe9021fa68fde,300.0018,10,180
dcd1e565653bd74154d6,7.5035,10,14
dd8a95265b4d32cc7e81,25.2555,10,30
ddf4f1bd4fafe659afe3,23.6556,10,30
e05b8feef97a67d41f1e,49.2909,10,90
