comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2015/01/01 00:00,8402.3998665115,0.5175,0.298,0.0
2015/01/01 01:00,8152.3998665115005,0.519,0.282,0.0
2015/01/01 02:00,7729.3998665115005,0.5396,0.2904,0.0
2015/01/01 03:00,7282.3998665115005,0.546,0.3099,0.0
2015/01/01 04:00,7008.3998665115005,0.5385,0.314,0.0
2015/01/01 05:00,6990.3998665115005,0.5752,0.3326,0.0
2015/01/01 06:00,7125.3998665115005,0.6057,0.3631,0.0
2015/01/01 07:00,7426.3998665115005,0.6178,0.3822,0.0
2015/01/01 08:00,7686.3998665115005,0.6291,0.4266,0.02
2015/01/01 09:00,8039.3998665115005,0.6144,0.4044,0.09
2015/01/01 10:00,8585.3998665115,0.6506,0.3986,0.143
2015/01/01 11:00,9060.3998665115,0.698,0.4455,0.139
2015/01/01 12:00,9195.3998665115,0.7092,0.4762,0.118
2015/01/01 13:00,9253.3998665115,0.7335,0.5098,0.081
2015/01/01 14:00,9313.3998665115,0.7675,0.5474,0.039
2015/01/01 15:00,9288.3998665115,0.8053,0.5863,0.001
2015/01/01 16:00,9730.3998665115,0.838,0.6229,0.0
2015/01/01 17:00,10886.3998665115,0.8735,0.6686,0.0
2015/01/01 18:00,10957.3998665115,0.9027,0.7118,0.0
2015/01/01 19:00,10788.3998665115,0.9263,0.7506,0.0
2015/01/01 20:00,10425.3998665115,0.935,0.7842,0.0
2015/01/01 21:00,9879.3998665115,0.9409,0.8067,0.0
2015/01/01 22:00,9224.3998665115,0.9498,0.8239,0.0
2015/01/01 23:00,8458.3998665115,0.9566,0.838,0.0
2015/01/02 00:00,7812.3998665115005,0.9646,0.8525,0.0
2015/01/02 01:00,7324.3998665115005,0.968,0.8609,0.0
2015/01/02 02:00,7027.3998665115005,0.9691,0.8627,0.0
2015/01/02 03:00,6926.3998665115005,0.9685,0.8654,0.0
2015/01/02 04:00,6983.3998665115005,0.9522,0.8481,0.0
2015/01/02 05:00,7319.3998665115005,0.928,0.8097,0.0
2015/01/02 06:00,8146.3998665115005,0.9153,0.768,0.0
2015/01/02 07:00,9275.3998665115,0.8892,0.7514,0.0
2015/01/02 08:00,10421.3998665115,0.8843,0.7125,0.025
2015/01/02 09:00,11301.3998665115,0.8694,0.6622,0.08
2015/01/02 10:00,11741.3998665115,0.8558,0.6517,0.128
