timesteps,solar,offshore_wind,onshore_wind,demand_power
01/01/2010 00:00,0,0.986005,0.714484,24088
01/01/2010 01:00,0,0.985791,0.714618,22843
01/01/2010 02:00,0,0.98595,0.712804,21297
01/01/2010 03:00,0,0.986164,0.706958,19972
01/01/2010 04:00,0,0.986568,0.698843,19002
01/01/2010 05:00,0,0.987009,0.691237,18648
01/01/2010 06:00,0,0.986209,0.679116,18648
01/01/2010 07:00,0,0.977073,0.670399,18962
01/01/2010 08:00,0.004,0.950291,0.665781,18709
01/01/2010 09:00,0.067,0.902155,0.654371,18647
01/01/2010 10:00,0.152,0.829073,0.640557,19797
01/01/2010 11:00,0.231,0.711164,0.661221,21227
01/01/2010 12:00,0.298,0.592336,0.68018,22046
01/01/2010 13:00,0.329,0.543686,0.679262,23149
01/01/2010 14:00,0.31,0.497305,0.662874,23161
01/01/2010 15:00,0.25,0.45705,0.630759,21892
01/01/2010 16:00,0.14,0.502645,0.569309,21591
01/01/2010 17:00,0.023,0.480473,0.514628,22436
01/01/2010 18:00,0,0.383118,0.495866,25632
01/01/2010 19:00,0,0.313572,0.474258,26933
01/01/2010 20:00,0,0.33701,0.457787,27744
01/01/2010 21:00,0,0.437983,0.440321,28287
01/01/2010 22:00,0,0.549859,0.408464,28415
01/01/2010 23:00,0,0.666959,0.383863,26585
02/01/2010 00:00,0,0.781264,0.362559,24114
02/01/2010 01:00,0,0.875623,0.344623,21635
02/01/2010 02:00,0,0.936473,0.327832,19747
02/01/2010 03:00,0,0.956014,0.32249,18754
02/01/2010 04:00,0,0.930423,0.315195,18446
02/01/2010 05:00,0,0.848096,0.305614,18733
02/01/2010 06:00,0,0.7083,0.302713,19945
02/01/2010 07:00,0,0.413246,0.299972,21403
02/01/2010 08:00,0.004,0.175442,0.297712,22904
02/01/2010 09:00,0.07,0.083758,0.268721,24728
02/01/2010 10:00,0.168,0.046213,0.252068,27421
02/01/2010 11:00,0.242,0.055247,0.25802,28187
02/01/2010 12:00,0.274,0.066389,0.235798,27911
02/01/2010 13:00,0.271,0.124064,0.20824,28225
02/01/2010 14:00,0.237,0.231056,0.193555,28163
02/01/2010 15:00,0.176,0.294456,0.173052,27387
02/01/2010 16:00,0.089,0.324906,0.151962,27033
02/01/2010 17:00,0.014,0.335756,0.164198,27584
02/01/2010 18:00,0,0.419986,0.19673,30532
02/01/2010 19:00,0,0.4857,0.230094,31365
02/01/2010 20:00,0,0.513023,0.260822,31612
02/01/2010 21:00,0,0.555023,0.289661,31561
02/01/2010 22:00,0,0.5905,0.313062,31026
02/01/2010 23:00,0,0.678423,0.328552,29156
03/01/2010 00:00,0,0.771473,0.330074,26780
03/01/2010 01:00,0,0.827423,0.328635,24292
03/01/2010 02:00,0,0.875536,0.336285,22155
03/01/2010 03:00,0,0.890664,0.341927,20777
03/01/2010 04:00,0,0.901618,0.344134,20158
03/01/2010 05:00,0,0.92845,0.341744,20251
03/01/2010 06:00,0,0.924645,0.318739,20607
03/01/2010 07:00,0,0.948673,0.306715,21031
03/01/2010 08:00,0.004,0.951032,0.306366,21434
03/01/2010 09:00,0.066,0.954591,0.304041,22553
03/01/2010 10:00,0.132,0.891282,0.274698,24855
03/01/2010 11:00,0.176,0.659173,0.285776,26223
03/01/2010 12:00,0.196,0.683636,0.278672,26654
03/01/2010 13:00,0.19,0.750818,0.258278,27417
03/01/2010 14:00,0.157,0.836032,0.244064,27731
03/01/2010 15:00,0.105,0.857618,0.232137,26967
03/01/2010 16:00,0.05,0.858286,0.215879,26393
03/01/2010 17:00,0.007,0.841555,0.221541,26793
03/01/2010 18:00,0,0.790282,0.223937,29563
03/01/2010 19:00,0,0.745714,0.23019,30745
03/01/2010 20:00,0,0.769336,0.239341,31526
03/01/2010 21:00,0,0.770473,0.233204,31963
03/01/2010 22:00,0,0.711027,0.230338,31489
03/01/2010 23:00,0,0.646127,0.224362,29510
04/01/2010 00:00,0,0.603609,0.211948,26515
04/01/2010 01:00,0,0.504459,0.199495,23680
04/01/2010 02:00,0,0.389663,0.187232,21829
04/01/2010 03:00,0,0.25181,0.181311,20892
04/01/2010 04:00,0,0.143066,0.176083,20710
04/01/2010 05:00,0,0.068295,0.171482,21320
04/01/2010 06:00,0,0.024692,0.16448,23537
04/01/2010 07:00,0,0.010808,0.164157,27185
04/01/2010 08:00,0.001,0.022001,0.16749,30747
04/01/2010 09:00,0.032,0.075338,0.171016,33420
04/01/2010 10:00,0.092,0.132091,0.163869,35300
04/01/2010 11:00,0.15,0.197731,0.175246,35557
04/01/2010 12:00,0.177,0.221226,0.204151,35390
04/01/2010 13:00,0.174,0.22853,0.232142,35245
04/01/2010 14:00,0.145,0.323325,0.266845,34179
04/01/2010 15:00,0.1,0.513409,0.299101,33695
04/01/2010 16:00,0.046,0.639341,0.316736,33640
04/01/2010 17:00,0.006,0.693318,0.34436,34356
04/01/2010 18:00,0,0.726714,0.364977,35992
04/01/2010 19:00,0,0.724127,0.3571,36022
04/01/2010 20:00,0,0.697709,0.339466,35737
04/01/2010 21:00,0,0.653973,0.327835,35516
04/01/2010 22:00,0,0.626809,0.322622,33945
04/01/2010 23:00,0,0.603609,0.306613,30973
05/01/2010 00:00,0,0.571318,0.287068,27894
05/01/2010 01:00,0,0.541982,0.273739,25022
05/01/2010 02:00,0,0.543686,0.264938,23135
05/01/2010 03:00,0,0.577845,0.259273,22203
05/01/2010 04:00,0,0.608586,0.25057,21882
05/01/2010 05:00,0,0.631277,0.253636,22269
05/01/2010 06:00,0,0.647954,0.260023,24283
05/01/2010 07:00,0,0.653972,0.269441,27524
05/01/2010 08:00,0,0.628277,0.282419,30720
05/01/2010 09:00,0.045,0.577722,0.281568,33162
05/01/2010 10:00,0.137,0.546977,0.304747,34632
05/01/2010 11:00,0.232,0.548595,0.33882,34886
05/01/2010 12:00,0.294,0.567736,0.352353,34434
05/01/2010 13:00,0.304,0.602141,0.356629,34125
05/01/2010 14:00,0.273,0.643354,0.361266,32892
05/01/2010 15:00,0.192,0.670432,0.363594,32237
05/01/2010 16:00,0.087,0.686795,0.33583,32148
