timesteps,solar,offshore_wind,onshore_wind,demand_power
01/01/2010 00:00,0,0.379277,0.518627,25712
01/01/2010 01:00,0,0.373313,0.536694,24818
01/01/2010 02:00,0,0.3899,0.570147,23361
01/01/2010 03:00,0,0.405323,0.596547,22179
01/01/2010 04:00,0,0.488207,0.614467,21444
01/01/2010 05:00,0,0.62666,0.623586,21376
01/01/2010 06:00,0,0.70572,0.641479,21937
01/01/2010 07:00,0.005,0.70821,0.670591,22321
01/01/2010 08:00,0.053,0.637897,0.675724,22396
01/01/2010 09:00,0.127,0.59591,0.720313,23855
01/01/2010 10:00,0.188,0.814647,0.835712,25562
01/01/2010 11:00,0.229,0.924087,0.874986,27134
01/01/2010 12:00,0.241,0.927147,0.874531,27487
01/01/2010 13:00,0.219,0.889897,0.868231,26108
01/01/2010 14:00,0.165,0.89208,0.851991,25274
01/01/2010 15:00,0.082,0.915913,0.834731,25406
01/01/2010 16:00,0.008,0.902693,0.830128,26770
01/01/2010 17:00,0,0.909757,0.82553,30377
01/01/2010 18:00,0,0.915063,0.821807,31300
01/01/2010 19:00,0,0.910667,0.816524,31515
01/01/2010 20:00,0,0.896803,0.808721,31189
01/01/2010 21:00,0,0.878493,0.796086,30088
01/01/2010 22:00,0,0.84816,0.769725,28238
01/01/2010 23:00,0,0.832057,0.742254,26316
02/01/2010 00:00,0,0.821413,0.708616,23844
02/01/2010 01:00,0,0.802983,0.672255,22157
02/01/2010 02:00,0,0.7798,0.645483,21192
02/01/2010 03:00,0,0.763457,0.634876,20792
02/01/2010 04:00,0,0.766607,0.63075,20786
02/01/2010 05:00,0,0.810263,0.607027,21432
02/01/2010 06:00,0,0.815507,0.587653,23265
02/01/2010 07:00,0.003,0.727683,0.575393,25248
02/01/2010 08:00,0.089,0.609313,0.545867,27028
02/01/2010 09:00,0.237,0.594407,0.570955,29506
02/01/2010 10:00,0.356,0.649063,0.640259,30311
02/01/2010 11:00,0.423,0.676347,0.685881,30362
02/01/2010 12:00,0.438,0.727683,0.726265,30154
02/01/2010 13:00,0.403,0.808473,0.750631,29012
02/01/2010 14:00,0.309,0.863423,0.752061,28839
02/01/2010 15:00,0.171,0.854517,0.733521,29048
02/01/2010 16:00,0.028,0.85729,0.728577,30773
02/01/2010 17:00,0,0.876713,0.73024,35129
02/01/2010 18:00,0,0.883717,0.726138,36337
02/01/2010 19:00,0,0.902693,0.709112,36373
02/01/2010 20:00,0,0.908373,0.694479,34639
02/01/2010 21:00,0,0.89731,0.685002,32275
02/01/2010 22:00,0,0.86275,0.671989,29480
02/01/2010 23:00,0,0.826373,0.653648,27502
03/01/2010 00:00,0,0.843747,0.645177,24972
03/01/2010 01:00,0,0.902693,0.640838,23207
03/01/2010 02:00,0,0.9129,0.613729,22079
03/01/2010 03:00,0,0.924867,0.579373,21468
03/01/2010 04:00,0,0.9438,0.552758,21357
03/01/2010 05:00,0,0.945297,0.493776,21717
03/01/2010 06:00,0,0.93157,0.430502,22823
03/01/2010 07:00,0.006,0.886553,0.387948,23898
03/01/2010 08:00,0.126,0.812033,0.312173,25104
03/01/2010 09:00,0.289,0.832857,0.33006,27584
03/01/2010 10:00,0.41,0.845237,0.34249,29024
03/01/2010 11:00,0.469,0.845237,0.324911,29538
03/01/2010 12:00,0.485,0.82555,0.298653,29519
03/01/2010 13:00,0.452,0.793533,0.263413,28267
03/01/2010 14:00,0.344,0.745907,0.219598,27902
03/01/2010 15:00,0.182,0.68288,0.16857,27924
03/01/2010 16:00,0.022,0.658773,0.146841,29074
03/01/2010 17:00,0,0.691857,0.14008,33309
03/01/2010 18:00,0,0.66015,0.117525,34603
03/01/2010 19:00,0,0.613717,0.092252,35144
03/01/2010 20:00,0,0.552137,0.074421,34197
03/01/2010 21:00,0,0.475553,0.066001,32544
03/01/2010 22:00,0,0.38078,0.057669,30356
03/01/2010 23:00,0,0.297337,0.053026,27688
04/01/2010 00:00,0,0.238194,0.052611,25408
04/01/2010 01:00,0,0.196908,0.05543,23647
04/01/2010 02:00,0,0.156235,0.063615,22771
04/01/2010 03:00,0,0.131592,0.081525,22393
04/01/2010 04:00,0,0.128221,0.106046,22617
04/01/2010 05:00,0,0.135918,0.136904,23809
04/01/2010 06:00,0,0.153391,0.1636,27370
04/01/2010 07:00,0.002,0.179816,0.181119,31700
04/01/2010 08:00,0.03,0.171631,0.181062,36068
04/01/2010 09:00,0.089,0.156235,0.190659,38972
