timesteps,demand_power,solar,offshore_wind,onshore_wind
2010/01/01 00:00,9978.0,0.0,0.784381,0.21563
2010/01/01 01:00,9578.0,0.0,0.787851,0.229971
2010/01/01 02:00,9146.0,0.0,0.793974,0.250931
2010/01/01 03:00,8635.0,0.0,0.801088,0.278457
2010/01/01 04:00,8252.0,0.0,0.803488,0.298668
2010/01/01 05:00,8039.0,0.0,0.81027,0.336497
2010/01/01 06:00,7953.0,0.0,0.797303,0.333684
2010/01/01 07:00,7585.0,0.0,0.767099,0.323123
2010/01/01 08:00,7584.0,0.0,0.699737,0.317771
2010/01/01 09:00,7789.0,0.026,0.62054,0.312351
2010/01/01 10:00,8168.0,0.095,0.524008,0.310422
2010/01/01 11:00,8605.0,0.166,0.440484,0.326687
2010/01/01 12:00,8882.0,0.203,0.368652,0.329303
2010/01/01 13:00,8876.0,0.197,0.316446,0.324872
2010/01/01 14:00,8686.0,0.157,0.281726,0.304283
2010/01/01 15:00,8527.0,0.089,0.258398,0.246835
2010/01/01 16:00,8517.0,0.009,0.236595,0.242468
2010/01/01 17:00,9275.0,0.0,0.203888,0.237058
2010/01/01 18:00,9590.0,0.0,0.166782,0.193406
2010/01/01 19:00,9541.0,0.0,0.121694,0.139276
2010/01/01 20:00,9396.0,0.0,0.076462,0.091217
2010/01/01 21:00,9277.0,0.0,0.04033,0.056022
2010/01/01 22:00,9995.0,0.0,0.020219,0.03556
2010/01/01 23:00,10299.0,0.0,0.014899,0.02535
2010/01/02 00:00,9787.0,0.0,0.021012,0.029216
2010/01/02 01:00,9187.0,0.0,0.059331,0.046014
2010/01/02 02:00,8730.0,0.0,0.118442,0.069895
2010/01/02 03:00,8398.0,0.0,0.190995,0.096481
2010/01/02 04:00,8174.0,0.0,0.267315,0.118098
2010/01/02 05:00,8157.0,0.0,0.318937,0.134645
2010/01/02 06:00,8313.0,0.0,0.321853,0.143786
2010/01/02 07:00,8333.0,0.0,0.300894,0.151479
2010/01/02 08:00,8776.0,0.0,0.276045,0.168177
2010/01/02 09:00,9348.0,0.027,0.251392,0.177574
2010/01/02 10:00,9781.0,0.093,0.224786,0.173504
2010/01/02 11:00,10011.0,0.157,0.210156,0.171084
2010/01/02 12:00,10186.0,0.186,0.231522,0.198816
2010/01/02 13:00,10140.0,0.151,0.268499,0.22367
2010/01/02 14:00,9958.0,0.087,0.303665,0.2123
2010/01/02 15:00,9860.0,0.039,0.327143,0.213109
2010/01/02 16:00,9944.0,0.002,0.350221,0.254509
2010/01/02 17:00,10776.0,0.0,0.390613,0.289577
2010/01/02 18:00,11002.0,0.0,0.414187,0.309265
2010/01/02 19:00,10760.0,0.0,0.419524,0.321762
2010/01/02 20:00,10304.0,0.0,0.397217,0.320791
2010/01/02 21:00,9942.0,0.0,0.35473,0.308101
2010/01/02 22:00,10247.0,0.0,0.273021,0.282254
2010/01/02 23:00,10409.0,0.0,0.19173,0.252041
2010/01/03 00:00,9869.0,0.0,0.145597,0.236371
2010/01/03 01:00,9298.0,0.0,0.17168,0.226042
2010/01/03 02:00,8856.0,0.0,0.39556,0.212302
2010/01/03 03:00,8488.0,0.0,0.579765,0.192572
2010/01/03 04:00,8259.0,0.0,0.657388,0.182222
2010/01/03 05:00,8208.0,0.0,0.645779,0.207696
2010/01/03 06:00,8330.0,0.0,0.555803,0.210103
2010/01/03 07:00,8191.0,0.0,0.437792,0.189672
2010/01/03 08:00,8514.0,0.0,0.345729,0.166829
2010/01/03 09:00,9025.0,0.031,0.279551,0.137462
2010/01/03 10:00,9567.0,0.134,0.223637,0.111355
2010/01/03 11:00,9935.0,0.253,0.194687,0.099134
2010/01/03 12:00,10145.0,0.349,0.193555,0.101984
2010/01/03 13:00,9966.0,0.351,0.169698,0.094921
2010/01/03 14:00,9664.0,0.276,0.117088,0.080699
2010/01/03 15:00,9534.0,0.133,0.090579,0.07955
2010/01/03 16:00,9628.0,0.013,0.089516,0.087635
2010/01/03 17:00,10646.0,0.0,0.089523,0.098026
2010/01/03 18:00,11150.0,0.0,0.082907,0.08952
2010/01/03 19:00,11148.0,0.0,0.070278,0.077766
2010/01/03 20:00,10818.0,0.0,0.050132,0.072857
2010/01/03 21:00,10403.0,0.0,0.028097,0.067648
2010/01/03 22:00,10672.0,0.0,0.010368,0.055166
2010/01/03 23:00,10665.0,0.0,0.002661,0.044843
2010/01/04 00:00,9995.0,0.0,0.000859,0.034555
2010/01/04 01:00,9615.0,0.0,0.00408,0.028015
2010/01/04 02:00,9275.0,0.0,0.007409,0.026209
2010/01/04 03:00,8972.0,0.0,0.015212,0.027663
2010/01/04 04:00,8897.0,0.0,0.030136,0.029188
2010/01/04 05:00,9307.0,0.0,0.037342,0.031591
2010/01/04 06:00,10513.0,0.0,0.043087,0.033962
2010/01/04 07:00,11405.0,0.0,0.054175,0.037141
2010/01/04 08:00,11830.0,0.0,0.070019,0.039895
2010/01/04 09:00,12052.0,0.053,0.082978,0.042295
2010/01/04 10:00,12227.0,0.171,0.094662,0.045813
2010/01/04 11:00,12357.0,0.278,0.106491,0.054208
2010/01/04 12:00,12160.0,0.329,0.131405,0.066226
2010/01/04 13:00,12256.0,0.299,0.169662,0.080625
2010/01/04 14:00,12192.0,0.211,0.209289,0.094927
2010/01/04 15:00,12147.0,0.094,0.242841,0.108477
2010/01/04 16:00,12258.0,0.006,0.261801,0.13467
2010/01/04 17:00,13175.0,0.0,0.264042,0.158653
2010/01/04 18:00,13296.0,0.0,0.246816,0.165868
2010/01/04 19:00,12784.0,0.0,0.221235,0.15923
2010/01/04 20:00,12028.0,0.0,0.196772,0.15509
2010/01/04 21:00,11489.0,0.0,0.177589,0.15033
2010/01/04 22:00,11808.0,0.0,0.180218,0.151384
2010/01/04 23:00,11836.0,0.0,0.197489,0.14707
2010/01/05 00:00,11128.0,0.0,0.217467,0.142908
2010/01/05 01:00,10623.0,0.0,0.23668,0.14404
2010/01/05 02:00,10210.0,0.0,0.246365,0.143763
2010/01/05 03:00,9908.0,0.0,0.251354,0.144033
2010/01/05 04:00,9785.0,0.0,0.250534,0.138643
2010/01/05 05:00,10065.0,0.0,0.241727,0.130361
2010/01/05 06:00,11076.0,0.0,0.23307,0.124131
2010/01/05 07:00,12019.0,0.0,0.227612,0.127035
2010/01/05 08:00,12383.0,0.0,0.231727,0.138303
2010/01/05 09:00,12400.0,0.029,0.239311,0.135008
2010/01/05 10:00,12418.0,0.092,0.254427,0.106253
2010/01/05 11:00,12542.0,0.169,0.271504,0.096497
2010/01/05 12:00,12292.0,0.223,0.269646,0.089359
2010/01/05 13:00,12317.0,0.233,0.244832,0.077796
2010/01/05 14:00,12207.0,0.196,0.208057,0.063405
2010/01/05 15:00,12094.0,0.092,0.177053,0.059866
2010/01/05 16:00,12148.0,0.007,0.161234,0.07952
2010/01/05 17:00,13125.0,0.0,0.163953,0.107796
2010/01/05 18:00,13293.0,0.0,0.17338,0.131687
2010/01/05 19:00,12826.0,0.0,0.183548,0.146589
2010/01/05 20:00,12072.0,0.0,0.1919,0.151767
2010/01/05 21:00,11555.0,0.0,0.19912,0.151543
2010/01/05 22:00,11870.0,0.0,0.208551,0.146094
2010/01/05 23:00,11866.0,0.0,0.214132,0.136427
2010/01/06 00:00,11208.0,0.0,0.222691,0.125515
2010/01/06 01:00,10693.0,0.0,0.224288,0.113545
2010/01/06 02:00,10344.0,0.0,0.202588,0.10222
2010/01/06 03:00,10044.0,0.0,0.178336,0.093268
2010/01/06 04:00,9843.0,0.0,0.152466,0.082628
2010/01/06 05:00,10096.0,0.0,0.128437,0.0736
2010/01/06 06:00,11166.0,0.0,0.109921,0.067251
2010/01/06 07:00,12119.0,0.0,0.096836,0.063618
2010/01/06 08:00,12556.0,0.0,0.087285,0.062719
2010/01/06 09:00,12709.0,0.077,0.071756,0.055559
2010/01/06 10:00,12769.0,0.227,0.054057,0.040113
2010/01/06 11:00,12878.0,0.35,0.042381,0.032592
2010/01/06 12:00,12666.0,0.396,0.025701,0.027361
2010/01/06 13:00,12712.0,0.369,0.009813,0.022049
2010/01/06 14:00,12616.0,0.277,0.002933,0.01761
2010/01/06 15:00,12661.0,0.13,0.00197,0.015467
2010/01/06 16:00,12682.0,0.011,0.000625,0.015133
