,0
0,0.0
1,9586.248623098487
2,17543.092762766497
3,25276.19224243072
4,32682.826102026345
5,40023.838254318754
6,48148.40931674646
7,56389.01683476783
8,64228.53868594719
9,71427.42441363884
10,77061.3941476427
11,81468.71251170947
12,83863.19888840064
13,82545.40637599718
14,77155.40539489171
15,69511.22809851282
16,61676.908300818875
17,52948.28908431037
18,44066.28478214529
19,35567.13118570537
20,27792.964003345878
21,20780.468569802844
22,14332.808595535591
23,8806.49128863636
24,4676.646394765514
25,2054.3748272144453
26,661.5052522991441
27,114.28704732093365
28,-417.6453247622917
29,-1351.1561555952808
30,-3440.1453621515416
31,-7475.234651734294
32,-12924.58011157816
33,-17556.07916786194
34,-21398.81831769254
35,-24934.041805941306
36,-28883.994707744474
37,-34498.92972146298
38,-42038.440552295964
39,-51178.33382715025
40,-61218.957345823845
41,-73073.93960857975
42,-85094.73015877226
43,-97165.38583087444
44,-108663.24929225429
45,-119532.29171054284
46,-129420.39858652912
47,-138559.82692073914
48,-146563.25525494918
49,-153657.7836721857
50,-160311.31208942222
51,-166669.76163277653
52,-172644.38167954993
53,-178478.2078550712
54,-185097.89749197234
55,-192779.12830176466
56,-198633.2227237774
57,-198633.2227237774
58,-198633.2227237774
59,-190121.57460653927
60,-179840.74103341237
61,-176145.9495768929
62,-177066.7321261175
63,-178804.69529278064
64,-180223.15721404643
65,-182132.56826353405
66,-183686.62985269388
67,-185218.60660527658
68,-186437.79877036167
69,-187364.97055656736
70,-187331.98542527354
71,-186903.62962450762
72,-185971.55369394182
73,-184936.02225732684
74,-184477.4356467686
75,-185338.55210819052
76,-187533.92126797338
77,-190636.91296532436
78,-194338.7248755017
79,-198173.61150823676
80,-198633.22272377738
81,-198633.22272377738
82,-198633.22272377738
83,-198633.22272377738
84,-197406.86564150843
85,-195370.81288229785
86,-196891.61747093164
87,-198633.22272377738
88,-198633.22272377738
89,-198633.22272377738
90,-198633.22272377738
91,-198633.22272377738
92,-198633.22272377738
93,-198633.22272377738
94,-198633.22272377738
95,-198633.22272377738
96,-198633.22272377738
97,-198633.22272377738
98,-198633.22272377738
99,-198633.22272377738
100,-198633.22272377738
101,-198633.22272377738
102,-198633.22272377738
103,-198633.22272377738
104,-198633.22272377738
105,-198633.22272377738
106,-198633.22272377738
107,-198633.22272377738
108,-198633.22272377738
109,-198633.22272377738
110,-198633.22272377738
111,-198633.22272377738
112,-198633.22272377738
113,-198633.22272377738
114,-198633.22272377738
115,-198633.22272377738
116,-198633.22272377738
117,-198633.22272377738
118,-198633.22272377738
119,-198633.22272377738
120,-198633.22272377738
121,-198633.22272377738
122,-198633.22272377738
123,-198633.22272377738
124,-198633.22272377738
125,-198633.22272377738
126,-198633.22272377738
127,-198633.22272377738
128,-198633.22272377738
129,-198633.22272377738
130,-198633.22272377738
131,-197975.80963986745
132,-193456.03010873773
133,-192060.18596906972
134,-193657.96255559946
135,-195892.97659404075
136,-196961.1951007001
137,-197664.61128261773
138,-197955.1707961153
139,-198527.4249281034
140,-198633.2227237774
141,-198633.2227237774
142,-198633.2227237774
143,-198633.2227237774
144,-198633.2227237774
145,-198633.2227237774
146,-198633.2227237774
147,-198633.2227237774
148,-198633.2227237774
149,-198633.2227237774
150,-198633.2227237774
151,-198633.2227237774
152,-198633.2227237774
153,-198633.2227237774
154,-198633.2227237774
155,-198633.2227237774
156,-198633.2227237774
157,-198633.2227237774
158,-198633.2227237774
159,-198633.2227237774
160,-198633.2227237774
161,-198633.2227237774
162,-198633.2227237774
163,-198633.2227237774
164,-198633.2227237774
165,-198633.2227237774
166,-198633.2227237774
167,-198633.2227237774
168,-198633.2227237774
169,-198633.2227237774
170,-198633.2227237774
171,-198633.2227237774
172,-198633.2227237774
173,-198633.2227237774
174,-198633.2227237774
175,-198633.2227237774
176,-198633.2227237774
177,-198633.2227237774
178,-198633.2227237774
179,-198633.2227237774
180,-198633.2227237774
181,-198633.2227237774
182,-198633.2227237774
183,-198633.2227237774
184,-198633.2227237774
185,-198633.2227237774
186,-198633.2227237774
187,-198633.2227237774
188,-198633.2227237774
189,-198633.2227237774
190,-198585.95855511553
191,-198055.07682790782
192,-197700.99742544183
193,-197074.81877021427
194,-196205.9971985392
195,-195261.6684187719
196,-194484.01818078087
197,-194132.66056864458
198,-195047.3810001256
199,-198633.2227237774
200,-198633.2227237774
201,-198633.2227237774
202,-196129.12166349616
203,-183351.14573989477
204,-173251.40462656965
205,-169358.24763300805
206,-173673.27940869343
207,-183230.7223099285
208,-190432.07456273216
209,-195499.29208828605
210,-197728.12633955374
211,-198633.2227237774
212,-198633.2227237774
213,-198633.2227237774
214,-198633.2227237774
215,-198633.2227237774
216,-198633.2227237774
217,-198633.2227237774
218,-198633.2227237774
219,-198633.2227237774
220,-198633.2227237774
221,-198633.2227237774
222,-198633.2227237774
223,-198633.2227237774
224,-198633.2227237774
225,-198633.2227237774
226,-198633.2227237774
227,-198633.2227237774
228,-198633.2227237774
229,-198633.2227237774
230,-198633.2227237774
231,-198633.2227237774
232,-198633.2227237774
233,-198633.2227237774
234,-198633.2227237774
235,-198633.2227237774
236,-198633.2227237774
237,-198633.2227237774
238,-198633.2227237774
239,-198633.2227237774
240,-198633.2227237774
241,-198633.2227237774
242,-198633.2227237774
243,-198633.2227237774
244,-198633.2227237774
245,-198633.2227237774
246,-198633.2227237774
247,-198633.2227237774
248,-198633.2227237774
249,-198633.2227237774
250,-198633.2227237774
251,-198633.2227237774
252,-190751.71280953995
253,-168105.57362800094
254,-152108.56985313605
255,-142264.57173928493
256,-135871.18755867175
257,-133089.25277057232
258,-131815.36538235086
259,-131758.1242316365
260,-132257.36477770502
261,-132389.70623706494
262,-132131.49210734916
263,-134196.81303698913
264,-138546.64102388077
265,-143707.57241485853
266,-148762.20438702172
267,-153972.40123201508
268,-159526.63453260213
269,-164920.8237543708
270,-169785.10890784144
271,-175349.9972011063
272,-180027.8296410036
273,-181203.66819443635
274,-181325.1471735219
275,-182019.91281576734
276,-182591.52154051323
277,-184651.93342026576
278,-189256.06527897762
279,-194079.16234262564
280,-196955.5767131729
281,-198633.22272377738
282,-198633.22272377738
283,-198633.22272377738
284,-198633.22272377738
285,-198633.22272377738
286,-198633.22272377738
287,-198633.22272377738
288,-198633.22272377738
289,-198633.22272377738
290,-198633.22272377738
291,-198633.22272377738
292,-198633.22272377738
293,-198633.22272377738
294,-198633.22272377738
295,-198633.22272377738
296,-198633.22272377738
297,-198633.22272377738
298,-198633.22272377738
299,-198633.22272377738
300,-198633.22272377738
301,-198633.22272377738
302,-198633.22272377738
303,-198633.22272377738
304,-198633.22272377738
305,-198633.22272377738
306,-198633.22272377738
307,-198633.22272377738
308,-198633.22272377738
309,-198633.22272377738
310,-198633.22272377738
311,-198633.22272377738
312,-198633.22272377738
313,-198633.22272377738
314,-198633.22272377738
315,-198633.22272377738
316,-198633.22272377738
317,-198633.22272377738
318,-198633.22272377738
319,-198633.22272377738
320,-198633.22272377738
321,-198633.22272377738
322,-198633.22272377738
323,-198633.22272377738
324,-198633.22272377738
325,-198633.22272377738
326,-198633.22272377738
327,-198633.22272377738
328,-198633.22272377738
329,-198633.22272377738
330,-198633.22272377738
331,-198633.22272377738
332,-198633.22272377738
333,-198633.22272377738
334,-198633.22272377738
335,-198633.22272377738
336,-198633.22272377738
337,-198633.22272377738
338,-198633.22272377738
339,-198633.22272377738
340,-198633.22272377738
341,-198633.22272377738
342,-198633.22272377738
343,-198633.22272377738
344,-198633.22272377738
345,-198633.22272377738
346,-198633.22272377738
