DATE,DEMAND
2001/01/01 00:00,78439
2001/01/01 01:00,79378
2001/01/01 02:00,76740
2001/01/01 03:00,72775
2001/01/01 04:00,67867
2001/01/01 05:00,64439
2001/01/01 06:00,62391
2001/01/01 07:00,57987
2001/01/01 08:00,56478
2001/01/01 09:00,60711
2001/01/01 10:00,65509
2001/01/01 11:00,69137
2001/01/01 12:00,71462
2001/01/01 13:00,71482
2001/01/01 14:00,71211
2001/01/01 15:00,72765
2001/01/01 16:00,79536
2001/01/01 17:00,83847
2001/01/01 18:00,81773
2001/01/01 19:00,80015
2001/01/01 20:00,76622
2001/01/01 21:00,73300
2001/01/01 22:00,69887
2001/01/01 23:00,65842
2001/01/02 00:00,68565
2001/01/02 01:00,69160
2001/01/02 02:00,69135
2001/01/02 03:00,66890
2001/01/02 04:00,63818
2001/01/02 05:00,63657
2001/01/02 06:00,69898
2001/01/02 07:00,76944
2001/01/02 08:00,82947
2001/01/02 09:00,88737
2001/01/02 10:00,91219
2001/01/02 11:00,93317
2001/01/02 12:00,94547
2001/01/02 13:00,94663
2001/01/02 14:00,93630
2001/01/02 15:00,94249
2001/01/02 16:00,100711
2001/01/02 17:00,103131
2001/01/02 18:00,100373
2001/01/02 19:00,96625
2001/01/02 20:00,90808
2001/01/02 21:00,84998
2001/01/02 22:00,80822
2001/01/02 23:00,74487
2001/01/03 00:00,76224
2001/01/03 01:00,77394
2001/01/03 02:00,77393
2001/01/03 03:00,74879
2001/01/03 04:00,71665
2001/01/03 05:00,71090
2001/01/03 06:00,76919
2001/01/03 07:00,84833
2001/01/03 08:00,89915
2001/01/03 09:00,94102
2001/01/03 10:00,95174
2001/01/03 11:00,95673
2001/01/03 12:00,95930
2001/01/03 13:00,95858
2001/01/03 14:00,96504
2001/01/03 15:00,99303
2001/01/03 16:00,104444
2001/01/03 17:00,105751
2001/01/03 18:00,103108
2001/01/03 19:00,99998
2001/01/03 20:00,94705
2001/01/03 21:00,87919
2001/01/03 22:00,82407
2001/01/03 23:00,75445
2001/01/04 00:00,76949
2001/01/04 01:00,78198
2001/01/04 02:00,78351
2001/01/04 03:00,75823
2001/01/04 04:00,71967
2001/01/04 05:00,70927
2001/01/04 06:00,77038
2001/01/04 07:00,86016
2001/01/04 08:00,92047
2001/01/04 09:00,95331
2001/01/04 10:00,96592
2001/01/04 11:00,97502
2001/01/04 12:00,97871
2001/01/04 13:00,97320
2001/01/04 14:00,96858
2001/01/04 15:00,97312
2001/01/04 16:00,103051
2001/01/04 17:00,105885
2001/01/04 18:00,103266
2001/01/04 19:00,99593
2001/01/04 20:00,94377
2001/01/04 21:00,88378
2001/01/04 22:00,82764
2001/01/04 23:00,76662
2001/01/05 00:00,77845
2001/01/05 01:00,78862
2001/01/05 02:00,78942
2001/01/05 03:00,76140
2001/01/05 04:00,72162
2001/01/05 05:00,71193
2001/01/05 06:00,77206
2001/01/05 07:00,86310
2001/01/05 08:00,91818
2001/01/05 09:00,94911
2001/01/05 10:00,95908
2001/01/05 11:00,96230
2001/01/05 12:00,96225
2001/01/05 13:00,94870
2001/01/05 14:00,93992
2001/01/05 15:00,94833
2001/01/05 16:00,101306
2001/01/05 17:00,104704
2001/01/05 18:00,101517
2001/01/05 19:00,96950
2001/01/05 20:00,90901
2001/01/05 21:00,85003
