model_name,run_time,objective_function,capacities,storage_capacities
standard,44.12312293052673,22926.183132760143,"[[[NaN, 2384.577066569561], [NaN, 18950.0], [6524.205052360836, 10037.238542093593], [25255.84565922387, 14143.273569165367], [25255.84565922387, NaN], [NaN, 3300.0], [NaN, 25660.409797351345], [NaN, 16000.0], [NaN, 38552.183291723355]]]","[[794.8590221898536, NaN, NaN, NaN, 6986042.0460965205, NaN, NaN, NaN, NaN]]"
hierarchical_328days,20.577006101608276,22938.801014985933,"[[[NaN, 2351.9153255625965], [NaN, 18950.0], [6524.187168565601, 10037.211028562462], [25262.142857142855, 14146.8], [25262.142857142855, NaN], [NaN, 3300.0], [NaN, 25473.78068091882], [NaN, 16000.0], [NaN, 39132.63248389633]]]","[[783.9717751875322, NaN, NaN, NaN, 7067210.81420601, NaN, NaN, NaN, NaN]]"
hierarchical_292days,16.10300302505493,22833.716473492717,"[[[NaN, 3683.4474956473696], [NaN, 18950.0], [6475.122932265651, 9961.727588101001], [23141.70992835455, 12959.35755987855], [23141.709928353448, NaN], [NaN, 3300.0], [NaN, 25629.1524098691], [NaN, 16000.0], [NaN, 38350.64476979884]]]","[[1227.8158318824565, NaN, NaN, NaN, 7096752.120795906, NaN, NaN, NaN, NaN]]"
hierarchical_255days,11.116935014724731,22866.44019396402,"[[[NaN, 3684.070901108853], [NaN, 18950.0], [6526.815332844472, 10041.254358222264], [23141.911496120432, 12959.470437827442], [23141.911496120432, NaN], [NaN, 3300.0], [NaN, 25602.276707751782], [NaN, 16000.0], [NaN, 38269.18284219838]]]","[[1228.023633702951, NaN, NaN, NaN, 7157696.645843676, NaN, NaN, NaN, NaN]]"
hierarchical_219days,17.341331005096436,22970.26289381036,"[[[NaN, 3687.912147754402], [NaN, 18950.0], [6536.373819699328, 10055.95972261435], [23143.153499202494, 12960.165959553397], [23143.153499202494, NaN], [NaN, 3300.0], [NaN, 25436.67629681032], [NaN, 16000.0], [NaN, 38595.24312400458]]]","[[1229.3040492514674, NaN, NaN, NaN, 7552647.2508225, NaN, NaN, NaN, NaN]]"
hierarchical_182days,8.91474199295044,22856.47331641885,"[[[NaN, 3684.798293359754], [NaN, 18950.0], [6488.925156277532, 9982.96177888851], [23142.146686281558, 12959.602144317672], [23142.146686281558, NaN], [NaN, 3300.0], [NaN, 25570.91801960182], [NaN, 16000.0], [NaN, 37672.889532116584]]]","[[1228.2660977865846, NaN, NaN, NaN, 7357381.4630656345, NaN, NaN, NaN, NaN]]"
hierarchical_146days,6.706467151641846,22813.311540940507,"[[[NaN, 3692.727420512893], [NaN, 18950.0], [6687.880759509402, 10289.047322322156], [23144.710437394406, 12961.037844940867], [23144.710437394406, NaN], [NaN, 3300.0], [NaN, 25229.08453788874], [NaN, 16000.0], [NaN, 38760.52799627561]]]","[[1230.9091401709643, NaN, NaN, NaN, 7003888.113461617, NaN, NaN, NaN, NaN]]"
hierarchical_110days,5.317055940628052,22675.23244499118,"[[[NaN, 3686.4341316649916], [NaN, 18950.0], [6470.994568512932, 9955.376259250665], [23142.675607333582, 12959.898340106807], [23142.675607333582, NaN], [NaN, 3300.0], [NaN, 25500.39521266491], [NaN, 16000.0], [NaN, 37492.165853016435]]]","[[1228.8113772216639, NaN, NaN, NaN, 6989419.001504141, NaN, NaN, NaN, NaN]]"
hierarchical_73days,3.193145990371704,22220.671140339255,"[[[NaN, 3027.0517383008505], [NaN, 18859.0], [6050.565864957527, 9308.562869165426], [23109.642857142855, 12941.4], [23109.642857142855, NaN], [NaN, 3300.0], [NaN, 25175.749517236196], [NaN, 16000.0], [NaN, 36702.65978189882]]]","[[1009.0172461002835, NaN, NaN, NaN, 6807880.863459868, NaN, NaN, NaN, NaN]]"
hierarchical_36days,1.627323865890503,22503.39769297282,"[[[NaN, 2067.6914342767577], [NaN, 18494.0], [6623.81920764421, 10190.4910886834], [16769.622052013958, 9390.988349127818], [16769.622052013958, NaN], [NaN, 3300.0], [NaN, 26412.173820722186], [NaN, 16000.0], [NaN, 37584.38883521432]]]","[[689.2304780922525, NaN, NaN, NaN, 6914741.30828023, NaN, NaN, NaN, NaN]]"
