comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2010/01/01 00:00,11071,0,0.5606,0.3441
2010/01/01 01:00,10627,0,0.4247,0.2756
2010/01/01 02:00,10210,0,0.3517,0.2335
2010/01/01 03:00,9990,0,0.2616,0.1742
2010/01/01 04:00,9989,0,0.1674,0.1183
2010/01/01 05:00,10203,0,0.0913,0.0763
2010/01/01 06:00,10523,0,0.0353,0.0436
2010/01/01 07:00,10794,0,0.0072,0.0239
2010/01/01 08:00,11088,0.029,0.0011,0.0146
2010/01/01 09:00,11627,0.097,0.0003,0.012
2010/01/01 10:00,11912,0.138,0.0029,0.0104
2010/01/01 11:00,12005,0.134,0.0198,0.016
2010/01/01 12:00,12063,0.078,0.0661,0.0338
2010/01/01 13:00,12176,0.039,0.1368,0.0625
2010/01/01 14:00,12270,0.013,0.2203,0.0996
2010/01/01 15:00,12723,0,0.2759,0.1348
2010/01/01 16:00,13768,0,0.3116,0.1634
2010/01/01 17:00,13809,0,0.3263,0.1835
2010/01/01 18:00,13566,0,0.3515,0.2054
2010/01/01 19:00,13174,0,0.3978,0.2301
2010/01/01 20:00,12609,0,0.4384,0.2544
2010/01/01 21:00,12038,0,0.4484,0.2566
2010/01/01 22:00,11383,0,0.4919,0.2897
2010/01/01 23:00,10797,0,0.5454,0.3188
2010/01/02 00:00,10271,0,0.5728,0.3408
2010/01/02 01:00,9975,0,0.5952,0.3829
2010/01/02 02:00,9873,0,0.6328,0.4233
2010/01/02 03:00,9863,0,0.6553,0.4451
2010/01/02 04:00,10003,0,0.6621,0.4548
2010/01/02 05:00,10510,0,0.6699,0.4699
2010/01/02 06:00,11301,0,0.6597,0.4601
2010/01/02 07:00,12342,0,0.6343,0.4433
2010/01/02 08:00,13316,0.003,0.6097,0.4273
2010/01/02 09:00,13972,0.015,0.6029,0.4204
2010/01/02 10:00,14301,0.037,0.585,0.4179
2010/01/02 11:00,14333,0.063,0.5509,0.4105
2010/01/02 12:00,14123,0.075,0.5221,0.402
2010/01/02 13:00,13910,0.064,0.5163,0.403
2010/01/02 14:00,13843,0.029,0.5097,0.4179
2010/01/02 15:00,14322,0.001,0.5193,0.4492
2010/01/02 16:00,15286,0,0.5507,0.4695
2010/01/02 17:00,14944,0,0.6028,0.4872
2010/01/02 18:00,14505,0,0.6322,0.5055
