comment,"Time series in MWh on modified data from ENTSOE for the Netherlands 2006 to 2019 (inclusive), accessed December 2024. Modified to address Daylight Savings missing data and normalised to 2019 levels for all years (Average Demand = 13TWh)",Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.,Time series MERRA-2 Capacity Factors for the Netherlands from Renewables.ninja. Accessed December 2024.
nodes,netherlands,netherlands,netherlands,netherlands
techs,demand_power,solar,offshore_wind,onshore_wind
parameters,sink_use_equals,source_use_max,source_use_max,source_use_max
timesteps,,,,
2010/01/01 00:00,10973,0,0.7415,0.6354
2010/01/01 01:00,10595,0,0.6421,0.5393
2010/01/01 02:00,10046,0,0.518,0.4524
2010/01/01 03:00,9515,0,0.3763,0.3842
2010/01/01 04:00,9184,0,0.2638,0.3113
2010/01/01 05:00,9121,0,0.2275,0.2374
2010/01/01 06:00,9289,0,0.2325,0.1886
2010/01/01 07:00,9599,0,0.2442,0.1795
2010/01/01 08:00,9958,0.005,0.3063,0.197
2010/01/01 09:00,10367,0.048,0.3787,0.2045
2010/01/01 10:00,11115,0.121,0.3981,0.1996
2010/01/01 11:00,11730,0.194,0.431,0.2583
2010/01/01 12:00,11986,0.219,0.4847,0.3136
2010/01/01 13:00,11958,0.156,0.4859,0.3124
2010/01/01 14:00,11822,0.059,0.4644,0.3037
2010/01/01 15:00,11682,0.001,0.4815,0.3186
2010/01/01 16:00,11985,0,0.5321,0.3516
2010/01/01 17:00,13568,0,0.5812,0.3838
2010/01/01 18:00,13894,0,0.6157,0.4058
2010/01/01 19:00,13739,0,0.6532,0.4372
2010/01/01 20:00,13323,0,0.6414,0.4438
2010/01/01 21:00,12682,0,0.5923,0.4166
2010/01/01 22:00,11954,0,0.5526,0.3921
2010/01/01 23:00,11092,0,0.5301,0.3781
2010/01/02 00:00,10193,0,0.5125,0.3683
2010/01/02 01:00,9549,0,0.4848,0.3551
2010/01/02 02:00,9260,0,0.4507,0.3364
2010/01/02 03:00,9177,0,0.4269,0.3265
2010/01/02 04:00,9259,0,0.3787,0.2992
2010/01/02 05:00,9715,0,0.3262,0.263
2010/01/02 06:00,10971,0,0.2665,0.2289
2010/01/02 07:00,12718,0,0.2211,0.2035
2010/01/02 08:00,14378,0.044,0.2013,0.1923
2010/01/02 09:00,15194,0.12,0.1679,0.1631
2010/01/02 10:00,15680,0.19,0.1389,0.1342
2010/01/02 11:00,15847,0.238,0.1602,0.1507
2010/01/02 12:00,15875,0.205,0.1949,0.1751
2010/01/02 13:00,15862,0.103,0.2333,0.1893
2010/01/02 14:00,15814,0.03,0.2946,0.2173
2010/01/02 15:00,15750,0,0.3506,0.2531
2010/01/02 16:00,16141,0,0.3881,0.2773
2010/01/02 17:00,17201,0,0.4267,0.2815
2010/01/02 18:00,16475,0,0.4776,0.2902
