,demand_error,solar_cf_error,offshore_cf_error,onshore_cf_error,overall_cf_error,compound_error,Years,Weights
absolute,0.06244695852744851,0.30715969600058335,0.49530341190932453,0.48296626465106113,0.428476457520323,0.33696908277210436,"2010,2011,2012","1,1,8"
signed,-0.004190370300618868,-0.031228439168585965,-0.009269162555744243,-0.013497655475835993,-0.017998419066722067,-0.014546406875196267,"2010,2011,2012","1,1,8"
absolute,0.0686386681019194,0.3180265993916797,0.5161012957572827,0.5090382675450786,0.4477220542313471,0.35295120769899013,"2010,2011,2012","1,8,1"
signed,-0.0051549049683798,-0.004580935613584726,0.006362330399997368,0.010616054851860617,0.0041324832127577526,0.0018106361674733646,"2010,2011,2012","1,8,1"
absolute,0.06914991574337463,0.2901009915597912,0.4626175663255208,0.44730552556452263,0.40000802781661154,0.3172934997983023,"2010,2011,2012","8,1,1"
signed,-0.00554461985003337,-0.02579559867182968,-0.11215575451887483,-0.1041755314866724,-0.08070896155912564,-0.061917876131852574,"2010,2011,2012","8,1,1"
absolute,0.07014311125338878,0.2897689644903531,0.4617836895883521,0.44523130647213877,0.3989279868502813,0.3167317679510582,"2010,2015,2016","8,1,1"
signed,-0.004455928130082884,-0.018666058745227802,-0.11697578482832634,-0.10907555194158453,-0.08157246517171289,-0.062293330911305386,"2010,2015,2016","8,1,1"
absolute,0.06524883269178022,0.3153352923431737,0.485417118258348,0.4808729283074331,0.4272084463029849,0.3367185429001837,"2010,2016,2017","1,1,8"
signed,0.00035496894318121026,-0.03873036260496186,-0.05313136470758154,-0.049332987980051486,-0.04706490509753163,-0.03520993658735342,"2010,2016,2017","1,1,8"
absolute,0.06605197136978722,0.2894148634895385,0.46654207396461445,0.44991737169106427,0.4019581030484057,0.31798157012875106,"2010,2016,2017","8,1,1"
signed,-0.004235832586640131,-0.023679628112833997,-0.12806845095470928,-0.12030223328192276,-0.090683437449822,-0.06907153623402654,"2010,2016,2017","8,1,1"
absolute,0.058075380634990216,0.31333949568246244,0.48588367339267174,0.4715979010207489,0.4236070233652944,0.33222411268271834,"2011,2012,2013","1,1,8"
signed,-0.005603408274101933,-0.009436995591899195,0.004231596524890042,-0.009394825294516714,-0.004866741453841955,-0.00505090815890695,"2011,2012,2013","1,1,8"
absolute,0.06162011055081163,0.30806228196097263,0.5002689229030082,0.48627880018765884,0.43153666835054655,0.3390575289006128,"2011,2012,2013","1,8,1"
signed,-0.004197718853627438,-0.02918361378359466,0.005279256324726357,-0.00165006720181654,-0.008518141553561613,-0.00743803587857807,"2011,2012,2013","1,8,1"
absolute,0.06467519601091573,0.31905126667900957,0.5090655625792465,0.5000870750109581,0.4427346347564047,0.34821977507003243,"2011,2012,2013","8,1,1"
signed,-0.005162253521388372,-0.002536110228593415,0.020910749280467968,0.022463643125880065,0.013612760725918207,0.008919007164091563,"2011,2012,2013","8,1,1"
absolute,0.06026629497695147,0.31617055818136713,0.5073164052121256,0.499074907912713,0.4408539571020686,0.3457070415707893,"2011,2015,2016","8,1,1"
signed,-0.004010539693907377,0.005579270464195018,0.01847345507895613,0.022114832445310307,0.015389185996153819,0.01053925457363852,"2011,2015,2016","8,1,1"
absolute,0.062050565907863266,0.3157561031519783,0.509262701584898,0.5025204094875784,0.44251307140815155,0.34739744503307946,"2011,2016,2017","8,1,1"
signed,-0.0037904441504646226,0.0005657010965888214,0.0073807889525731845,0.01088815110497206,0.006278213718044688,0.003761049250917361,"2011,2016,2017","8,1,1"
absolute,0.06914991574337463,0.2901009915597912,0.4626175663255208,0.44730552556452263,0.40000802781661154,0.3172934997983023,"2012,2011,2010","1,1,8"
signed,-0.00554461985003337,-0.025795598671829685,-0.11215575451887481,-0.1041755314866724,-0.08070896155912563,-0.06191787613185257,"2012,2011,2010","1,1,8"
absolute,0.06317009725785859,0.2953662026190843,0.4896105921070322,0.4807490064246776,0.42190860038359806,0.3322239746021632,"2012,2013,2014","1,1,8"
signed,-0.004760923183618097,-0.011341561538189581,-0.03550409883984257,-0.03150378684082798,-0.02611648240628671,-0.020777592600619555,"2012,2013,2014","1,1,8"
absolute,0.06255026515207185,0.3096357470662506,0.49492421939264825,0.48054153799377386,0.4283671681508909,0.3369129424011861,"2012,2013,2014","1,8,1"
