Run,years,weights,contiguous,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error,LDES Capacity Error
[2010],2010,1,True,-0.020672473181204465,-0.2161872196664995,0.2161872196664995,0.11842984642385199,-0.39069064896879435
[2011],2011,1,True,-0.1642356697057452,-0.21500728904312175,0.222025042987809,0.1931303563467771,-0.7010252828688962
[2012],2012,1,True,-0.11715039512032621,-0.18041438567574872,0.20280637361473078,0.15997838436752848,-0.5766054947085134
[2013],2013,1,True,-0.12644252824649238,-0.286417714800367,0.286417714800367,0.20643012152342968,-0.6153878619198111
[2014],2014,1,True,-0.1219405577583188,-0.10100057912130864,0.2615637375239625,0.19175214764114065,-0.5835532094187333
[2015],2015,1,True,-0.17608872125441966,-0.1086488381750863,0.3314279832307362,0.2537583522425779,-0.6810859904793636
[2016],2016,1,True,-0.07039437454907171,0.18949013737232054,0.5198574957937946,0.29512593517143315,-0.5081705750257728
[2017],2017,1,True,-0.09958289020420863,-0.020271642389105442,0.33983469668028377,0.2197087934422462,-0.5687073997731495
[2018],2018,1,True,-0.17614034141337687,-0.19593856298540618,0.2812439891910077,0.22869216530219227,-0.8208755998436946
[2019],2019,1,True,-0.1469236253203673,-0.27840621555396494,0.27840621555396494,0.21266492043716612,-0.6681598601759291
"[2010,2011]_[9:1]",2010,9,True,-0.025769466616192394,-0.22149032673085053,0.22149032673085053,0.12362989667352146,-0.40240779322590126
"[2010,2011]_[9:1]",2011,1,True,-0.025769466616192394,-0.22149032673085053,0.22149032673085053,0.12362989667352146,-0.40240779322590126
"[2010,2012]_[9:1]",2010,9,False,-0.024291713510647073,-0.21923140961931042,0.21923140961931042,0.12176156156497875,-0.3950861567830046
"[2010,2012]_[9:1]",2012,1,False,-0.024291713510647073,-0.21923140961931042,0.21923140961931042,0.12176156156497875,-0.3950861567830046
"[2010,2013]_[9:1]",2010,9,False,-0.02164932151388621,-0.19975844225314246,0.19975844225314246,0.11070388188351434,-0.38480067359284653
"[2010,2013]_[9:1]",2013,1,False,-0.02164932151388621,-0.19975844225314246,0.19975844225314246,0.11070388188351434,-0.38480067359284653
"[2010,2014]_[9:1]",2010,9,False,-0.026014165135487932,-0.2144937861889155,0.2144937861889155,0.12025397566220171,-0.39862478861361195
"[2010,2014]_[9:1]",2014,1,False,-0.026014165135487932,-0.2144937861889155,0.2144937861889155,0.12025397566220171,-0.39862478861361195
"[2010,2015]_[9:1]",2010,9,False,-0.02596252071556826,-0.21964945287310683,0.21964945287310683,0.12280598679433755,-0.39641444480023
"[2010,2015]_[9:1]",2015,1,False,-0.02596252071556826,-0.21964945287310683,0.21964945287310683,0.12280598679433755,-0.39641444480023
"[2010,2016]_[9:1]",2010,9,False,-0.02521597654462404,-0.19797959536923057,0.19797959536923057,0.1115977859569273,-0.4004536796389444
"[2010,2016]_[9:1]",2016,1,False,-0.02521597654462404,-0.19797959536923057,0.19797959536923057,0.1115977859569273,-0.4004536796389444
"[2010,2017]_[9:1]",2010,9,False,-0.01963402732407582,-0.19328163137499957,0.19328163137499957,0.1064578293495377,-0.37836172778313115
"[2010,2017]_[9:1]",2017,1,False,-0.01963402732407582,-0.19328163137499957,0.19328163137499957,0.1064578293495377,-0.37836172778313115
"[2010,2018]_[9:1]",2010,9,False,-0.025785609083299965,-0.2176025807446844,0.2176025807446844,0.12169409491399218,-0.39622540651819604
"[2010,2018]_[9:1]",2018,1,False,-0.025785609083299965,-0.2176025807446844,0.2176025807446844,0.12169409491399218,-0.39622540651819604
"[2010,2019]_[9:1]",2010,9,False,-0.025622962234931324,-0.21967072873908308,0.21967072873908308,0.1226468454870072,-0.39674088329349444
"[2010,2019]_[9:1]",2019,1,False,-0.025622962234931324,-0.21967072873908308,0.21967072873908308,0.1226468454870072,-0.39674088329349444
"[2011,2010]_[9:1]",2011,9,True,-0.07308171149369647,-0.25208137289566024,0.25208137289566024,0.16258154219467835,-0.38790894737133974
"[2011,2010]_[9:1]",2010,1,True,-0.07308171149369647,-0.25208137289566024,0.25208137289566024,0.16258154219467835,-0.38790894737133974
"[2011,2012]_[9:1]",2011,9,True,-0.13420225467340718,-0.19622670065862488,0.22098634118625457,0.1775942979298309,-0.6271981735208143
"[2011,2012]_[9:1]",2012,1,True,-0.13420225467340718,-0.19622670065862488,0.22098634118625457,0.1775942979298309,-0.6271981735208143
"[2011,2013]_[9:1]",2011,9,False,-0.14492470982543193,-0.20420518033245558,0.21329584324285172,0.17911027653414183,-0.6577911719780624
"[2011,2013]_[9:1]",2013,1,False,-0.14492470982543193,-0.20420518033245558,0.21329584324285172,0.17911027653414183,-0.6577911719780624
"[2011,2014]_[9:1]",2011,9,False,-0.11950655605341576,-0.26497927930639664,0.26497927930639664,0.1922429176799062,-0.6365517093327171
"[2011,2014]_[9:1]",2014,1,False,-0.11950655605341576,-0.26497927930639664,0.26497927930639664,0.1922429176799062,-0.6365517093327171
"[2011,2015]_[9:1]",2011,9,False,-0.1647173008710372,-0.131451338528146,0.30550388723994576,0.23511059405549148,-0.700315923955397
"[2011,2015]_[9:1]",2015,1,False,-0.1647173008710372,-0.131451338528146,0.30550388723994576,0.23511059405549148,-0.700315923955397
"[2011,2016]_[9:1]",2011,9,False,-0.06608490367332787,-0.08757794463900988,0.22463774454992894,0.1453613241116284,-0.5039207268711141
"[2011,2016]_[9:1]",2016,1,False,-0.06608490367332787,-0.08757794463900988,0.22463774454992894,0.1453613241116284,-0.5039207268711141
"[2011,2017]_[9:1]",2011,9,False,-0.12844371723058745,-0.06470080121059786,0.320285947870438,0.22436483255051273,-0.6230525818501321
"[2011,2017]_[9:1]",2017,1,False,-0.12844371723058745,-0.06470080121059786,0.320285947870438,0.22436483255051273,-0.6230525818501321
"[2011,2018]_[9:1]",2011,9,False,-0.15162960240192225,-0.15280591645652356,0.28729190645807673,0.2194607544299995,-0.6982386184485075
"[2011,2018]_[9:1]",2018,1,False,-0.15162960240192225,-0.15280591645652356,0.28729190645807673,0.2194607544299995,-0.6982386184485075
"[2011,2019]_[9:1]",2011,9,False,-0.13444255141878092,-0.20612817262764713,0.21788343009179106,0.176162990755286,-0.6057677807980284
"[2011,2019]_[9:1]",2019,1,False,-0.13444255141878092,-0.20612817262764713,0.21788343009179106,0.176162990755286,-0.6057677807980284
"[2012,2010]_[9:1]",2012,9,False,-0.05878625873970733,-0.2360967364379718,0.2360967364379718,0.14744149758883957,-0.3038460928936173
"[2012,2010]_[9:1]",2010,1,False,-0.05878625873970733,-0.2360967364379718,0.2360967364379718,0.14744149758883957,-0.3038460928936173
"[2012,2011]_[9:1]",2012,9,True,-0.11691690382394815,-0.18065138697349922,0.2038436527464207,0.16038027828518442,-0.5759016009193536
"[2012,2011]_[9:1]",2011,1,True,-0.11691690382394815,-0.18065138697349922,0.2038436527464207,0.16038027828518442,-0.5759016009193536
"[2012,2013]_[9:1]",2012,9,True,-0.11434833696429691,-0.17825967036744259,0.20142363783704562,0.15788598740067128,-0.5676031921561732
"[2012,2013]_[9:1]",2013,1,True,-0.11434833696429691,-0.17825967036744259,0.20142363783704562,0.15788598740067128,-0.5676031921561732
"[2012,2014]_[9:1]",2012,9,False,-0.10788910447079159,-0.19651566561293787,0.19651566561293787,0.15220238504186473,-0.6739052453793117
"[2012,2014]_[9:1]",2014,1,False,-0.10788910447079159,-0.19651566561293787,0.19651566561293787,0.15220238504186473,-0.6739052453793117
"[2012,2015]_[9:1]",2012,9,False,-0.11797044986952454,-0.20804512704419492,0.20804512704419492,0.16300778845685973,-0.577790603215463
"[2012,2015]_[9:1]",2015,1,False,-0.11797044986952454,-0.20804512704419492,0.20804512704419492,0.16300778845685973,-0.577790603215463
"[2012,2016]_[9:1]",2012,9,False,-0.05504238467320466,-0.16706322906167573,0.16706322906167573,0.11105280686744019,-0.5533353747881526
"[2012,2016]_[9:1]",2016,1,False,-0.05504238467320466,-0.16706322906167573,0.16706322906167573,0.11105280686744019,-0.5533353747881526
"[2012,2017]_[9:1]",2012,9,False,-0.11197160311249954,-0.16239073093832626,0.21017701100553454,0.16107430705901704,-0.5846147377538669
"[2012,2017]_[9:1]",2017,1,False,-0.11197160311249954,-0.16239073093832626,0.21017701100553454,0.16107430705901704,-0.5846147377538669
"[2012,2018]_[9:1]",2012,9,False,-0.11898721576820281,-0.1815363915688195,0.20413222733373176,0.1615597215509673,-0.5907566076605981
