Run,years,weights,contiguous,Cost Error,Mean Capacity Mix Error,Mean Abs Capacity Mix Error,Abs Compound Error,LDES Capacity Error
[2010],2010,1,True,0.013886662593335597,-0.15595420121673373,0.259298857620895,0.1365927601071153,-0.30137823199844893
[2011],2011,1,True,-0.1347426837789839,-0.20734573248533006,0.24339502437423938,0.18906885407661164,-0.6572016413068341
[2012],2012,1,True,-0.08599583392602927,-0.17155462235545688,0.20807686413795243,0.14703634903199087,-0.5145444307587338
[2013],2013,1,True,-0.09561587378569192,-0.2462232375894334,0.2788567802468863,0.18723632701628912,-0.5590115079545579
[2014],2014,1,True,-0.09095503488517087,-0.11122543074790084,0.1770579626764863,0.1340064987808286,-0.5225105398069694
[2015],2015,1,True,-0.1470140133874448,-0.13764002758697558,0.16775117081196836,0.15738259209970656,-0.6343396522723647
[2016],2016,1,True,-0.037589857013357486,0.08771184542764546,0.23119643142959617,0.13439314422147683,-0.43607833713833266
[2017],2017,1,True,-0.0678083956668879,-0.058420424101101695,0.13648859837422445,0.10214849702055617,-0.5054886349823362
[2018],2018,1,True,-0.14706745515156816,-0.20475010169825333,0.2440574928540903,0.19556247400282922,-0.7946195886906611
[2019],2019,1,True,-0.11681972090508708,-0.2540571991887905,0.2727884294651994,0.19480407518514323,-0.6195188129225
"[2010,2011]_[9:1]",2010,9,True,-0.030578293573940152,-0.19818005862126079,0.25052889932021305,0.1405535964470766,-0.3259277897890198
"[2010,2011]_[9:1]",2011,1,True,-0.030578293573940152,-0.19818005862126079,0.25052889932021305,0.1405535964470766,-0.3259277897890198
"[2010,2012]_[9:1]",2010,9,False,-0.017694700250861617,-0.1778483458239337,0.24317821452720229,0.13043645738903195,-0.28924918779704545
"[2010,2012]_[9:1]",2012,1,False,-0.017694700250861617,-0.1778483458239337,0.24317821452720229,0.13043645738903195,-0.28924918779704545
"[2010,2013]_[9:1]",2010,9,False,-0.004796650322739127,-0.1660609775747981,0.22628355622779206,0.1155401032752656,-0.19686529414210507
"[2010,2013]_[9:1]",2013,1,False,-0.004796650322739127,-0.1660609775747981,0.22628355622779206,0.1155401032752656,-0.19686529414210507
"[2010,2014]_[9:1]",2010,9,False,-0.04297046524835024,-0.19230629674970134,0.27253879126939995,0.1577546282588751,-0.4539749003307064
"[2010,2014]_[9:1]",2014,1,False,-0.04297046524835024,-0.19230629674970134,0.27253879126939995,0.1577546282588751,-0.4539749003307064
"[2010,2015]_[9:1]",2010,9,False,-0.038034624431978914,-0.1939445036719698,0.24246440889095836,0.14024951666146862,-0.3064068213725306
"[2010,2015]_[9:1]",2015,1,False,-0.038034624431978914,-0.1939445036719698,0.24246440889095836,0.14024951666146862,-0.3064068213725306
"[2010,2016]_[9:1]",2010,9,False,0.006249621168890718,-0.02357314121925807,0.08524238654595766,0.04574600385742419,-0.2779465739594176
"[2010,2016]_[9:1]",2016,1,False,0.006249621168890718,-0.02357314121925807,0.08524238654595766,0.04574600385742419,-0.2779465739594176
"[2010,2017]_[9:1]",2010,9,False,0.011157393189912268,-0.1484553026175512,0.22282001108748492,0.1169887021386986,-0.1523236535378173
"[2010,2017]_[9:1]",2017,1,False,0.011157393189912268,-0.1484553026175512,0.22282001108748492,0.1169887021386986,-0.1523236535378173
"[2010,2018]_[9:1]",2010,9,False,-0.04278216447979655,-0.1978745255203028,0.2593217278306495,0.15105194615522302,-0.39730987404064366
"[2010,2018]_[9:1]",2018,1,False,-0.04278216447979655,-0.1978745255203028,0.2593217278306495,0.15105194615522302,-0.39730987404064366
"[2010,2019]_[9:1]",2010,9,False,-0.03438549357376097,-0.19828396532206558,0.267376367525646,0.15088093054970347,-0.38475746672406863
"[2010,2019]_[9:1]",2019,1,False,-0.03438549357376097,-0.19828396532206558,0.267376367525646,0.15088093054970347,-0.38475746672406863
"[2011,2010]_[9:1]",2011,9,True,-0.03729371927872571,-0.1975586777661061,0.25089318537018374,0.14409345232445472,-0.3228387095044172
"[2011,2010]_[9:1]",2010,1,True,-0.03729371927872571,-0.1975586777661061,0.25089318537018374,0.14409345232445472,-0.3228387095044172
"[2011,2012]_[9:1]",2011,9,True,-0.10340545238430865,-0.1919626837200083,0.20699198033841654,0.1551987163613626,-0.5726319608513235
"[2011,2012]_[9:1]",2012,1,True,-0.10340545238430865,-0.1919626837200083,0.20699198033841654,0.1551987163613626,-0.5726319608513235
"[2011,2013]_[9:1]",2011,9,False,-0.11441295492577885,-0.1952423146143602,0.22030865897443272,0.1673608069501058,-0.6072664725582905
"[2011,2013]_[9:1]",2013,1,False,-0.11441295492577885,-0.1952423146143602,0.22030865897443272,0.1673608069501058,-0.6072664725582905
"[2011,2014]_[9:1]",2011,9,False,-0.08879508272804348,-0.22457945775386007,0.26178484938264696,0.17528996605534522,-0.5832694932155011
"[2011,2014]_[9:1]",2014,1,False,-0.08879508272804348,-0.22457945775386007,0.26178484938264696,0.17528996605534522,-0.5832694932155011
"[2011,2015]_[9:1]",2011,9,False,-0.1360313517824271,-0.1301637727788507,0.1684727141593389,0.152252032970883,-0.6420262915979733
"[2011,2015]_[9:1]",2015,1,False,-0.1360313517824271,-0.1301637727788507,0.1684727141593389,0.152252032970883,-0.6420262915979733
"[2011,2016]_[9:1]",2011,9,False,-0.03330800190489436,-0.10152117112287844,0.16236329867049035,0.09783565028769235,-0.41352907481097323
"[2011,2016]_[9:1]",2016,1,False,-0.03330800190489436,-0.10152117112287844,0.16236329867049035,0.09783565028769235,-0.41352907481097323
"[2011,2017]_[9:1]",2011,9,False,-0.09721255974205323,-0.09377180146695145,0.13928009122758625,0.11824632548481974,-0.5678367513673535
"[2011,2017]_[9:1]",2017,1,False,-0.09721255974205323,-0.09377180146695145,0.13928009122758625,0.11824632548481974,-0.5678367513673535
"[2011,2018]_[9:1]",2011,9,False,-0.12182914136162326,-0.19139341661216897,0.2064227132305772,0.16412592729610023,-0.6554151710967404
"[2011,2018]_[9:1]",2018,1,False,-0.12182914136162326,-0.19139341661216897,0.2064227132305772,0.16412592729610023,-0.6554151710967404
"[2011,2019]_[9:1]",2011,9,False,-0.10398997031027568,-0.2020388924560304,0.20668317613913714,0.1553365732247064,-0.558716615829751
"[2011,2019]_[9:1]",2019,1,False,-0.10398997031027568,-0.2020388924560304,0.20668317613913714,0.1553365732247064,-0.558716615829751
"[2012,2010]_[9:1]",2012,9,False,-0.020871314352628456,-0.17735184908240376,0.243866222609802,0.13236876848121523,-0.2876523193421714
"[2012,2010]_[9:1]",2010,1,False,-0.020871314352628456,-0.17735184908240376,0.243866222609802,0.13236876848121523,-0.2876523193421714
"[2012,2011]_[9:1]",2012,9,True,-0.09992843832275711,-0.1916777211315705,0.20754781756079876,0.15373812794177794,-0.573220498521187
"[2012,2011]_[9:1]",2011,1,True,-0.09992843832275711,-0.1916777211315705,0.20754781756079876,0.15373812794177794,-0.573220498521187
"[2012,2013]_[9:1]",2012,9,True,-0.07839033970954346,-0.1641057722596248,0.19899896440865655,0.1386946520591,-0.4579299049478206
"[2012,2013]_[9:1]",2013,1,True,-0.07839033970954346,-0.1641057722596248,0.19899896440865655,0.1386946520591,-0.4579299049478206
"[2012,2014]_[9:1]",2012,9,False,-0.07692363660850765,-0.17522292139226778,0.23224664162562472,0.15458513911706617,-0.6258023533503574
"[2012,2014]_[9:1]",2014,1,False,-0.07692363660850765,-0.17522292139226778,0.23224664162562472,0.15458513911706617,-0.6258023533503574
"[2012,2015]_[9:1]",2012,9,False,-0.10526481683630418,-0.11718615304787469,0.14062344777448338,0.12294413230539378,-0.5555895415446521
"[2012,2015]_[9:1]",2015,1,False,-0.10526481683630418,-0.11718615304787469,0.14062344777448338,0.12294413230539378,-0.5555895415446521
"[2012,2016]_[9:1]",2012,9,False,-0.02187299531500353,-0.12880936978126528,0.2311635074325738,0.12651825137378866,-0.48678785140380376
"[2012,2016]_[9:1]",2016,1,False,-0.02187299531500353,-0.12880936978126528,0.2311635074325738,0.12651825137378866,-0.48678785140380376
"[2012,2017]_[9:1]",2012,9,False,-0.06646658304180553,-0.14191865420640973,0.1850096445109369,0.12573811377637123,-0.43432733859507844
"[2012,2017]_[9:1]",2017,1,False,-0.06646658304180553,-0.14191865420640973,0.1850096445109369,0.12573811377637123,-0.43432733859507844
"[2012,2018]_[9:1]",2012,9,False,-0.10239209627328427,-0.1101572423984786,0.13417258699502604,0.11828234163415516,-0.5734861714645669
"[2012,2018]_[9:1]",2018,1,False,-0.10239209627328427,-0.1101572423984786,0.13417258699502604,0.11828234163415516,-0.5734861714645669
"[2012,2019]_[9:1]",2012,9,False,-0.08673203374765226,-0.1799880286148389,0.19396632546972212,0.1403491796086872,-0.483968514816993
"[2012,2019]_[9:1]",2019,1,False,-0.08673203374765226,-0.1799880286148389,0.19396632546972212,0.1403491796086872,-0.483968514816993
"[2013,2010]_[9:1]",2013,9,False,-0.009806578480931027,-0.16577233639803873,0.22631270027938472,0.11805963938015787,-0.19608647375550425
"[2013,2010]_[9:1]",2010,1,False,-0.009806578480931027,-0.16577233639803873,0.22631270027938472,0.11805963938015787,-0.19608647375550425
"[2013,2011]_[9:1]",2013,9,False,-0.11256678893567318,-0.19423717264891652,0.22051216673704285,0.16653947783635803,-0.6069908988645016
"[2013,2011]_[9:1]",2011,1,False,-0.11256678893567318,-0.19423717264891652,0.22051216673704285,0.16653947783635803,-0.6069908988645016
"[2013,2012]_[9:1]",2013,9,True,-0.08010656314822673,-0.1886031870291154,0.22423207901261472,0.15216932108042072,-0.4583744651654815
"[2013,2012]_[9:1]",2012,1,True,-0.08010656314822673,-0.1886031870291154,0.22423207901261472,0.15216932108042072,-0.4583744651654815
"[2013,2014]_[9:1]",2013,9,True,-0.06648589768088653,-0.22419115111713683,0.26307814236756377,0.16478202002422515,-0.4438177469698057
"[2013,2014]_[9:1]",2014,1,True,-0.06648589768088653,-0.22419115111713683,0.26307814236756377,0.16478202002422515,-0.4438177469698057
"[2013,2015]_[9:1]",2013,9,False,-0.11695722463534575,-0.2026951640070386,0.2399531056240017,0.17845516512967374,-0.5859249527557631
"[2013,2015]_[9:1]",2015,1,False,-0.11695722463534575,-0.2026951640070386,0.2399531056240017,0.17845516512967374,-0.5859249527557631
"[2013,2016]_[9:1]",2013,9,False,-0.008741860434441473,-0.11340640546087756,0.13232307635599777,0.07053246839521962,-0.09993650440152635
"[2013,2016]_[9:1]",2016,1,False,-0.008741860434441473,-0.11340640546087756,0.13232307635599777,0.07053246839521962,-0.09993650440152635
"[2013,2017]_[9:1]",2013,9,False,-0.08029767927175324,-0.07067502491689691,0.13376414994252775,0.1070309146071405,-0.544442706187783
"[2013,2017]_[9:1]",2017,1,False,-0.08029767927175324,-0.07067502491689691,0.13376414994252775,0.1070309146071405,-0.544442706187783
"[2013,2018]_[9:1]",2013,9,False,-0.10190768539314254,-0.19560117724760576,0.21583292269546303,0.1588703040443028,-0.5404648249746095
"[2013,2018]_[9:1]",2018,1,False,-0.10190768539314254,-0.19560117724760576,0.21583292269546303,0.1588703040443028,-0.5404648249746095
"[2013,2019]_[9:1]",2013,9,False,-0.08294544796944436,-0.20880851980607767,0.22173581689743585,0.1523406324334401,-0.441771695661036
"[2013,2019]_[9:1]",2019,1,False,-0.08294544796944436,-0.20880851980607767,0.22173581689743585,0.1523406324334401,-0.441771695661036
"[2014,2010]_[9:1]",2014,9,False,-0.04777979365367735,-0.1911744816781193,0.2747040261090762,0.16124190988137677,-0.452416725172467
"[2014,2010]_[9:1]",2010,1,False,-0.04777979365367735,-0.1911744816781193,0.2747040261090762,0.16124190988137677,-0.452416725172467
"[2014,2011]_[9:1]",2014,9,False,-0.08632568238806226,-0.22471085738558766,0.2614432991207883,0.17388449075442527,-0.5835905027631447
"[2014,2011]_[9:1]",2011,1,False,-0.08632568238806226,-0.22471085738558766,0.2614432991207883,0.17388449075442527,-0.5835905027631447
"[2014,2012]_[9:1]",2014,9,False,-0.0778206767596058,-0.17382408644262767,0.23141887348380058,0.1546197751217032,-0.6255332188878935
"[2014,2012]_[9:1]",2012,1,False,-0.0778206767596058,-0.17382408644262767,0.23141887348380058,0.1546197751217032,-0.6255332188878935
"[2014,2013]_[9:1]",2014,9,True,-0.06612656659448057,-0.22312620643488262,0.26290654748430586,0.16451655703939322,-0.43933835633944995
"[2014,2013]_[9:1]",2013,1,True,-0.06612656659448057,-0.22312620643488262,0.26290654748430586,0.16451655703939322,-0.43933835633944995
"[2014,2015]_[9:1]",2014,9,True,-0.09122825365374698,-0.15145726679017152,0.21042638523419704,0.150827319443972,-0.5329999795222737
"[2014,2015]_[9:1]",2015,1,True,-0.09122825365374698,-0.15145726679017152,0.21042638523419704,0.150827319443972,-0.5329999795222737
"[2014,2016]_[9:1]",2014,9,False,-0.049199961989498164,-0.07192735300305549,0.10989805628678127,0.07954900913813973,-0.3687657756682071
"[2014,2016]_[9:1]",2016,1,False,-0.049199961989498164,-0.07192735300305549,0.10989805628678127,0.07954900913813973,-0.3687657756682071
"[2014,2017]_[9:1]",2014,9,False,-0.05730868638610764,-0.13892903902226134,0.17282378139594426,0.11506623389102595,-0.3665594395523897
"[2014,2017]_[9:1]",2017,1,False,-0.05730868638610764,-0.13892903902226134,0.17282378139594426,0.11506623389102595,-0.3665594395523897
"[2014,2018]_[9:1]",2014,9,False,-0.09264853232127646,0.05499771649533384,0.2688401826328348,0.18074435747705564,-0.4910994788395009
"[2014,2018]_[9:1]",2018,1,False,-0.09264853232127646,0.05499771649533384,0.2688401826328348,0.18074435747705564,-0.4910994788395009
"[2014,2019]_[9:1]",2014,9,False,-0.09101520662938689,-0.11103465759978626,0.170078075061484,0.13054664084543544,-0.5304546025582315
"[2014,2019]_[9:1]",2019,1,False,-0.09101520662938689,-0.11103465759978626,0.170078075061484,0.13054664084543544,-0.5304546025582315
"[2015,2010]_[9:1]",2015,9,False,-0.04906704462357969,-0.193630086165771,0.24577594056892096,0.14742149259625031,-0.30611290699655824
"[2015,2010]_[9:1]",2010,1,False,-0.04906704462357969,-0.193630086165771,0.24577594056892096,0.14742149259625031,-0.30611290699655824
"[2015,2011]_[9:1]",2015,9,False,-0.13994759224253817,-0.13125397692024462,0.16798641865544522,0.1539670054489917,-0.6445422384087527
"[2015,2011]_[9:1]",2011,1,False,-0.13994759224253817,-0.13125397692024462,0.16798641865544522,0.1539670054489917,-0.6445422384087527
"[2015,2012]_[9:1]",2015,9,False,-0.1128156720962139,-0.1356337264654369,0.1602796709200994,0.13654767150815666,-0.5548956381629122
"[2015,2012]_[9:1]",2012,1,False,-0.1128156720962139,-0.1356337264654369,0.1602796709200994,0.13654767150815666,-0.5548956381629122
"[2015,2013]_[9:1]",2015,9,False,-0.12278774651995739,-0.20286993469402098,0.2412314260626854,0.1820095862913214,-0.585632372144643
"[2015,2013]_[9:1]",2013,1,False,-0.12278774651995739,-0.20286993469402098,0.2412314260626854,0.1820095862913214,-0.585632372144643
"[2015,2014]_[9:1]",2015,9,True,-0.09755027080739209,-0.122220987835659,0.17801204258329925,0.13778115669534569,-0.5349838195990129
"[2015,2014]_[9:1]",2014,1,True,-0.09755027080739209,-0.122220987835659,0.17801204258329925,0.13778115669534569,-0.5349838195990129
"[2015,2016]_[9:1]",2015,9,True,-0.04063095287108309,-0.11786584517867217,0.13289514179708042,0.08676304733408176,-0.20727029545612985
"[2015,2016]_[9:1]",2016,1,True,-0.04063095287108309,-0.11786584517867217,0.13289514179708042,0.08676304733408176,-0.20727029545612985
"[2015,2017]_[9:1]",2015,9,False,-0.10502345216575348,-0.18462542174298738,0.23733305988376877,0.1711782560247611,-0.5573074650413239
"[2015,2017]_[9:1]",2017,1,False,-0.10502345216575348,-0.18462542174298738,0.23733305988376877,0.1711782560247611,-0.5573074650413239
"[2015,2018]_[9:1]",2015,9,False,-0.13496758038678047,-0.2200411925746275,0.25383083497195796,0.19439920767936922,-0.671294956026034
"[2015,2018]_[9:1]",2018,1,False,-0.13496758038678047,-0.2200411925746275,0.25383083497195796,0.19439920767936922,-0.671294956026034
"[2015,2019]_[9:1]",2015,9,False,-0.1210390677412182,-0.2622382713894373,0.2862536159859847,0.20364634186360145,-0.5561646342188283
"[2015,2019]_[9:1]",2019,1,False,-0.1210390677412182,-0.2622382713894373,0.2862536159859847,0.20364634186360145,-0.5561646342188283
"[2016,2010]_[9:1]",2016,9,False,0.005979951162283559,0.017705462165033485,0.09795328772359695,0.05196661944294025,-0.27660827291743106
"[2016,2010]_[9:1]",2010,1,False,0.005979951162283559,0.017705462165033485,0.09795328772359695,0.05196661944294025,-0.27660827291743106
"[2016,2011]_[9:1]",2016,9,False,-0.02695634186206375,-0.062396866298651044,0.12141122508504512,0.07418378347355443,-0.41983900341730407
"[2016,2011]_[9:1]",2011,1,False,-0.02695634186206375,-0.062396866298651044,0.12141122508504512,0.07418378347355443,-0.41983900341730407
"[2016,2012]_[9:1]",2016,9,False,-0.019048760357847527,-0.10279695081091052,0.20370998754981942,0.11137937395383347,-0.4842351039965588
"[2016,2012]_[9:1]",2012,1,False,-0.019048760357847527,-0.10279695081091052,0.20370998754981942,0.11137937395383347,-0.4842351039965588
"[2016,2013]_[9:1]",2016,9,False,-0.004214531858119042,-0.11334904042362297,0.13231217309059526,0.06826335247435715,-0.10049121396320604
"[2016,2013]_[9:1]",2013,1,False,-0.004214531858119042,-0.11334904042362297,0.13231217309059526,0.06826335247435715,-0.10049121396320604
"[2016,2014]_[9:1]",2016,9,False,-0.04496414143015215,-0.07202306557672346,0.10793028963571734,0.07644721553293474,-0.37047043010860514
"[2016,2014]_[9:1]",2014,1,False,-0.04496414143015215,-0.07202306557672346,0.10793028963571734,0.07644721553293474,-0.37047043010860514
"[2016,2015]_[9:1]",2016,9,True,-0.030847890812455203,-0.08979634518798482,0.10193539245669918,0.0663916416345772,-0.2054097623850143
"[2016,2015]_[9:1]",2015,1,True,-0.030847890812455203,-0.08979634518798482,0.10193539245669918,0.0663916416345772,-0.2054097623850143
"[2016,2017]_[9:1]",2016,9,True,0.006407279674686128,0.07919096040152906,0.12170050675739542,0.06405389321604077,-0.09069717527640075
"[2016,2017]_[9:1]",2017,1,True,0.006407279674686128,0.07919096040152906,0.12170050675739542,0.06405389321604077,-0.09069717527640075
"[2016,2018]_[9:1]",2016,9,False,-0.04102562651354058,-0.08843061040354838,0.1058772064780643,0.07345141649580245,-0.28663684085254226
"[2016,2018]_[9:1]",2018,1,False,-0.04102562651354058,-0.08843061040354838,0.1058772064780643,0.07345141649580245,-0.28663684085254226
"[2016,2019]_[9:1]",2016,9,False,-0.03219841681991609,-0.025735191493633743,0.07254109230560231,0.0523697545627592,-0.2410658958178702
"[2016,2019]_[9:1]",2019,1,False,-0.03219841681991609,-0.025735191493633743,0.07254109230560231,0.0523697545627592,-0.2410658958178702
"[2017,2010]_[9:1]",2017,9,False,0.008908579419810048,-0.14334586690639098,0.21936103139461283,0.11413480540721144,-0.14887192912263547
"[2017,2010]_[9:1]",2010,1,False,0.008908579419810048,-0.14334586690639098,0.21936103139461283,0.11413480540721144,-0.14887192912263547
"[2017,2011]_[9:1]",2017,9,False,-0.0926231331489028,-0.09386557687735445,0.13832286687446418,0.1154730000116835,-0.5683989130263454
"[2017,2011]_[9:1]",2011,1,False,-0.0926231331489028,-0.09386557687735445,0.13832286687446418,0.1154730000116835,-0.5683989130263454
"[2017,2012]_[9:1]",2017,9,False,-0.06560911019654347,-0.1419626587298092,0.18521129899886515,0.1254102045977043,-0.43375324419113803
