techs,technologies,year,flow_out_carrier,Flow Capacity (Power) (MW),Storage Capacity (MWh),Flow Capacity (Hydrogen) (MW),Cost Investment,Cost Investment Annualised,carriers,Cost Investment Flow Cap,Cost Investment Storage Cap,Cost Fixed Opex
battery,battery,2010,power,2350.126562023318,783.3755206744393,,869.5468279486277,102.13664413300322,,,869.5468279486277,
demand_power,demand_power,2010,,18950.0,,,,,,,,
electrolyser,electrolyser,2010,hydrogen,12542.530960140755,,8152.645124091491,24834.211301078692,2735.937183399468,hydrogen,9783.17414890979,,496.684226021574
electrolyser,electrolyser,2010,hydrogen,12542.530960140755,,8152.645124091491,24834.211301078692,2735.937183399468,power,15051.037152168905,,496.684226021574
h2_elec_conversion,h2_elec_conversion,2010,power,15796.8,,28208.571428571424,4118.902765714285,453.7715772368877,hydrogen,2640.3222857142855,,1371.0313522285712
h2_elec_conversion,h2_elec_conversion,2010,power,15796.8,,28208.571428571424,4118.902765714285,453.7715772368877,power,1478.58048,,1371.0313522285712
h2_salt_cavern,h2_salt_cavern,2010,hydrogen,,7821616.9858403,28208.571428571424,24950.958184830557,2495.2768900369542,,,24950.958184830557,
nuclear,nuclear,2010,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2010,power,31257.449457939125,,,66265.79285083094,7173.778497592571,power,66265.79285083094,,1562.8724728969564
onshore_wind,onshore_wind,2010,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2010,power,44572.83792163288,,,24960.78923611442,2588.1768754526142,power,24960.78923611442,,503.67306851445153
battery,battery,2011,power,3722.286763144425,1240.762254381475,,1377.2461023634373,161.77081040306052,,,1377.2461023634373,
demand_power,demand_power,2011,,18548.0,,,,,,,,
electrolyser,electrolyser,2011,hydrogen,11870.98384803316,,7716.139501221554,23504.548019105656,2589.4507429626424,hydrogen,9259.367401465865,,470.09096038211317
electrolyser,electrolyser,2011,hydrogen,11870.98384803316,,7716.139501221554,23504.548019105656,2589.4507429626424,power,14245.180617639791,,470.09096038211317
h2_elec_conversion,h2_elec_conversion,2011,power,14998.782880715444,,26783.540858420434,3910.8255019831186,430.84810622505057,hydrogen,2506.939424348153,,1301.7700784165174
h2_elec_conversion,h2_elec_conversion,2011,power,14998.782880715444,,26783.540858420434,3910.8255019831186,430.84810622505057,power,1403.8860776349657,,1301.7700784165174
h2_salt_cavern,h2_salt_cavern,2011,hydrogen,,4094259.714292854,26783.540858420434,13060.688488594205,1306.1636315584292,,,13060.688488594205,
nuclear,nuclear,2011,power,1650.0,,,11427.9,1168.6103619859732,power,11427.9,,273.90000000000003
offshore_wind,offshore_wind,2011,power,22875.650603458624,,,48496.37927933229,5250.103679711806,power,48496.37927933229,,1143.7825301729313
onshore_wind,onshore_wind,2011,power,16000.0,,,17760.0,1922.6557268249214,power,17760.0,,262.40000000000003
solar,solar,2011,power,45525.72831568091,,,25494.407856781316,2643.507632876051,power,25494.407856781316,,514.4407299671943
battery,battery,2012,power,2162.3307688219365,720.7769229406455,,800.0623844641166,94.23249330247867,,,800.0623844641166,
demand_power,demand_power,2012,,18797.0,,,,,,,,
electrolyser,electrolyser,2012,hydrogen,11948.199355528728,,7766.329581093674,23657.43472394688,2613.434507940947,hydrogen,9319.595497312408,,474.4449922720307
electrolyser,electrolyser,2012,hydrogen,11948.199355528728,,7766.329581093674,23657.43472394688,2613.434507940947,power,14337.839226634473,,474.4449922720307
h2_elec_conversion,h2_elec_conversion,2012,power,15254.846384747574,,27240.797115620666,3977.592231634467,439.4042261120136,hydrogen,2549.7386100220942,,1327.6216504560962
