,demand_error,solar_cf_error,offshore_cf_error,onshore_cf_error,compound_error,Run
0,0.019444104,0.010938974,0.11372524,0.086851224,0.05773988366127014,"[2010,2011,2012]_[8:1:1]"
0,0.019573802,0.011318486,0.11114852,0.0877951,0.05745897442102432,"[2010,2012,2013]_[8:1:1]"
0,0.018849948,0.010757279,0.11895808,0.093619615,0.060546230524778366,"[2010,2013,2014]_[8:1:1]"
0,0.016184285,0.010702087,0.110305555,0.085331455,0.055630844086408615,"[2010,2014,2015]_[8:1:1]"
0,0.0136273485,0.010246327,0.11279041,0.09004592,0.05667750537395477,"[2010,2015,2016]_[8:1:1]"
0,0.013096817,0.010590262,0.13106361,0.10314191,0.06447315216064453,"[2010,2016,2017]_[8:1:1]"
0,0.011655668,0.00964654,0.121458955,0.0942716,0.05925819277763367,"[2010,2017,2018]_[8:1:1]"
0,0.010498251,0.008978541,0.10960086,0.08359192,0.05316739156842232,"[2010,2018,2019]_[8:1:1]"
0,0.016766598,0.007444396,0.0472638,0.044809557,0.029071088880300522,"[2011,2012,2013]_[8:1:1]"
0,0.016056906,0.0071131317,0.053520314,0.04919904,0.031472347676754,"[2011,2013,2014]_[8:1:1]"
0,0.013506301,0.008056755,0.055932086,0.05484357,0.0330846793949604,"[2011,2014,2015]_[8:1:1]"
0,0.011200107,0.008377424,0.04667976,0.048301473,0.028639690950512886,"[2011,2015,2016]_[8:1:1]"
0,0.010558779,0.008008937,0.052455563,0.04762989,0.029663290828466415,"[2011,2016,2017]_[8:1:1]"
0,0.009257982,0.008943054,0.052672893,0.04739953,0.029568364843726158,"[2011,2017,2018]_[8:1:1]"
0,0.0080864215,0.010281612,0.044613674,0.041252922,0.026058658957481384,"[2011,2018,2019]_[8:1:1]"
0,0.020528363,0.0149080735,0.025814705,0.027755776,0.022251728922128677,"[2012,2010,2011]_[8:1:1]"
0,0.020088715,0.0143042505,0.037887376,0.028817378,0.025274431332945824,"[2012,2013,2014]_[8:1:1]"
0,0.017424082,0.014239536,0.04568836,0.033013627,0.0275914017111063,"[2012,2014,2015]_[8:1:1]"
0,0.014864467,0.0140408045,0.04548911,0.031803872,0.0265495628118515,"[2012,2015,2016]_[8:1:1]"
0,0.01434152,0.016937846,0.026228782,0.025124785,0.020658232271671295,"[2012,2016,2017]_[8:1:1]"
0,0.0129060205,0.014596893,0.035204075,0.030309116,0.0232540275901556,"[2012,2017,2018]_[8:1:1]"
0,0.011735603,0.010771622,0.05058616,0.042532798,0.028906546533107758,"[2012,2018,2019]_[8:1:1]"
0,0.017509962,0.008463242,0.030845944,0.017969888,0.018697258085012436,"[2013,2010,2011]_[8:1:1]"
0,0.017668828,0.0075475816,0.04753112,0.026095375,0.024710725992918015,"[2013,2011,2012]_[8:1:1]"
0,0.014398582,0.009225897,0.05099157,0.024759393,0.024843860417604446,"[2013,2014,2015]_[8:1:1]"
0,0.011834144,0.008649555,0.04843361,0.023165546,0.023020712658762932,"[2013,2015,2016]_[8:1:1]"
0,0.011324392,0.00910577,0.028855415,0.01771757,0.01675078645348549,"[2013,2016,2017]_[8:1:1]"
0,0.009900791,0.008886526,0.0392324,0.02041862,0.019609583541750908,"[2013,2017,2018]_[8:1:1]"
0,0.008708004,0.008979187,0.053034544,0.03197252,0.02567356266081333,"[2013,2018,2019]_[8:1:1]"
0,0.014737118,0.009596773,0.057324827,0.044819385,0.03161952644586563,"[2014,2010,2011]_[8:1:1]"
0,0.014892121,0.008547198,0.052305892,0.039228246,0.028743363916873932,"[2014,2011,2012]_[8:1:1]"
0,0.015018678,0.009337918,0.046825167,0.035166584,0.02658708579838276,"[2014,2012,2013]_[8:1:1]"
0,0.009122495,0.010078198,0.049494613,0.041497573,0.02754822000861168,"[2014,2015,2016]_[8:1:1]"
0,0.008567304,0.008919718,0.059540424,0.04719682,0.03105606697499752,"[2014,2016,2017]_[8:1:1]"
0,0.007152636,0.009840492,0.05290735,0.041417524,0.027829501777887344,"[2014,2017,2018]_[8:1:1]"
0,0.0060704695,0.011855077,0.043664847,0.031631187,0.023305393755435944,"[2014,2018,2019]_[8:1:1]"
0,0.0057328357,0.0051649585,0.111231126,0.08801275,0.052535414695739746,"[2015,2010,2011]_[8:1:1]"
0,0.005650101,0.0055960664,0.13289121,0.10005324,0.06104765832424164,"[2015,2011,2012]_[8:1:1]"
0,0.0056412998,0.00506988,0.13707198,0.09795157,0.06143368035554886,"[2015,2012,2013]_[8:1:1]"
0,0.006338449,0.0047121835,0.1259788,0.09298162,0.057502761483192444,"[2015,2013,2014]_[8:1:1]"
0,0.010766914,0.0049101263,0.109869644,0.08482645,0.05259328335523605,"[2015,2016,2017]_[8:1:1]"
0,0.012042184,0.0052643144,0.12253061,0.093422495,0.05831490457057953,"[2015,2017,2018]_[8:1:1]"
0,0.012912603,0.006338448,0.1391246,0.10305497,0.06535765528678894,"[2015,2018,2019]_[8:1:1]"
0,0.0065186815,0.0071529816,0.086204514,0.079903044,0.04494480788707733,"[2016,2010,2011]_[8:1:1]"
0,0.0063998993,0.006405159,0.07586879,0.069354765,0.03950715437531471,"[2016,2011,2012]_[8:1:1]"
0,0.0063758628,0.0064637004,0.078247,0.072461955,0.04088713228702545,"[2016,2012,2013]_[8:1:1]"
0,0.007112516,0.008617145,0.08147645,0.074754484,0.042990148067474365,"[2016,2013,2014]_[8:1:1]"
0,0.009548486,0.007990921,0.07366725,0.06539181,0.03914961591362953,"[2016,2014,2015]_[8:1:1]"
0,0.013718522,0.007840471,0.07883989,0.073226035,0.043406229466199875,"[2016,2017,2018]_[8:1:1]"
0,0.014985392,0.010689156,0.075719886,0.066895716,0.04207253456115723,"[2016,2018,2019]_[8:1:1]"
0,0.008579519,0.023926387,0.06271719,0.045745634,0.03524218499660492,"[2017,2010,2011]_[8:1:1]"
0,0.008431296,0.025384935,0.057790387,0.043246385,0.03371325135231018,"[2017,2011,2012]_[8:1:1]"
0,0.008356664,0.025557833,0.05150836,0.037895314,0.030829543247818947,"[2017,2012,2013]_[8:1:1]"
0,0.009044123,0.023300968,0.059221268,0.044515714,0.03402051702141762,"[2017,2013,2014]_[8:1:1]"
0,0.011693307,0.023257446,0.056794338,0.045056723,0.03420045226812363,"[2017,2014,2015]_[8:1:1]"
0,0.014216376,0.023069626,0.052020058,0.041313216,0.03265481814742088,"[2017,2015,2016]_[8:1:1]"
0,0.017275905,0.019995706,0.04763646,0.03352028,0.02960708737373352,"[2017,2018,2019]_[8:1:1]"
0,0.017890245,0.02685287,0.03266373,0.025537854,0.02573617361485958,"[2018,2010,2011]_[8:1:1]"
0,0.017740626,0.025252117,0.043167852,0.031202788,0.029340844601392746,"[2018,2011,2012]_[8:1:1]"
0,0.017621858,0.02470764,0.050507706,0.036099292,0.03223412483930588,"[2018,2012,2013]_[8:1:1]"
0,0.018352957,0.027341345,0.039131667,0.026195781,0.027755437418818474,"[2018,2013,2014]_[8:1:1]"
