timesteps,nodes,techs,sink_use_equals
2019-01-01 00:00:00,netherlands,demand_power,11194000.0
2019-01-01 01:00:00,netherlands,demand_power,10933000.0
2019-01-01 02:00:00,netherlands,demand_power,10667000.0
2019-01-01 03:00:00,netherlands,demand_power,10413000.0
2019-01-01 04:00:00,netherlands,demand_power,10441000.0
2019-01-01 05:00:00,netherlands,demand_power,10670000.0
2019-01-01 06:00:00,netherlands,demand_power,10899000.0
2019-01-01 07:00:00,netherlands,demand_power,11161000.0
2019-01-01 08:00:00,netherlands,demand_power,11463000.0
2019-01-01 09:00:00,netherlands,demand_power,11837000.0
2019-01-01 10:00:00,netherlands,demand_power,12258000.0
2019-01-01 11:00:00,netherlands,demand_power,12493000.0
2019-01-01 12:00:00,netherlands,demand_power,12610000.0
2019-01-01 13:00:00,netherlands,demand_power,12587000.0
2019-01-01 14:00:00,netherlands,demand_power,12709000.0
2019-01-01 15:00:00,netherlands,demand_power,13077000.0
2019-01-01 16:00:00,netherlands,demand_power,14079000.0
2019-01-01 17:00:00,netherlands,demand_power,13950000.0
2019-01-01 18:00:00,netherlands,demand_power,13678000.0
2019-01-01 19:00:00,netherlands,demand_power,13311000.0
2019-01-01 20:00:00,netherlands,demand_power,12762000.0
2019-01-01 21:00:00,netherlands,demand_power,12222000.0
2019-01-01 22:00:00,netherlands,demand_power,11522000.0
2019-01-01 23:00:00,netherlands,demand_power,11056000.0
2019-01-02 00:00:00,netherlands,demand_power,10727000.0
2019-01-02 01:00:00,netherlands,demand_power,10573000.0
2019-01-02 02:00:00,netherlands,demand_power,10512000.0
2019-01-02 03:00:00,netherlands,demand_power,10607000.0
2019-01-02 04:00:00,netherlands,demand_power,11109000.0
2019-01-02 05:00:00,netherlands,demand_power,12300000.0
2019-01-02 06:00:00,netherlands,demand_power,13753000.0
2019-01-02 07:00:00,netherlands,demand_power,15030000.0
2019-01-02 08:00:00,netherlands,demand_power,15713000.0
2019-01-02 09:00:00,netherlands,demand_power,15788000.0
2019-01-02 10:00:00,netherlands,demand_power,15929000.0
2019-01-02 11:00:00,netherlands,demand_power,15857000.0
2019-01-02 12:00:00,netherlands,demand_power,15854000.0
2019-01-02 13:00:00,netherlands,demand_power,15811000.0
2019-01-02 14:00:00,netherlands,demand_power,15885000.0
2019-01-02 15:00:00,netherlands,demand_power,16286000.0
2019-01-02 16:00:00,netherlands,demand_power,17158000.0
2019-01-02 17:00:00,netherlands,demand_power,16290000.0
2019-01-02 18:00:00,netherlands,demand_power,15698000.0
2019-01-02 19:00:00,netherlands,demand_power,14985000.0
2019-01-02 20:00:00,netherlands,demand_power,14206000.0
2019-01-02 21:00:00,netherlands,demand_power,13329000.0
2019-01-02 22:00:00,netherlands,demand_power,12557000.0
2019-01-02 23:00:00,netherlands,demand_power,11983000.0
2019-01-03 00:00:00,netherlands,demand_power,11574000.0
2019-01-03 01:00:00,netherlands,demand_power,11284000.0
2019-01-03 02:00:00,netherlands,demand_power,11176000.0
2019-01-03 03:00:00,netherlands,demand_power,11245000.0
2019-01-03 04:00:00,netherlands,demand_power,11689000.0
2019-01-03 05:00:00,netherlands,demand_power,12828000.0
2019-01-03 06:00:00,netherlands,demand_power,14331000.0
2019-01-03 07:00:00,netherlands,demand_power,15617000.0
2019-01-03 08:00:00,netherlands,demand_power,16120000.0
2019-01-03 09:00:00,netherlands,demand_power,16224000.0
2019-01-03 10:00:00,netherlands,demand_power,16145000.0
2019-01-03 11:00:00,netherlands,demand_power,15843000.0
