nodes,techs,timesteps,storage
netherlands,battery,2019-01-01 00:00:00,3620450.351887995
netherlands,battery,2019-01-01 01:00:00,3620450.351887995
netherlands,battery,2019-01-01 02:00:00,10359015.933589047
netherlands,battery,2019-01-01 03:00:00,10928195.962948643
netherlands,battery,2019-01-01 04:00:00,21863608.429197997
netherlands,battery,2019-01-01 05:00:00,21863608.429197997
netherlands,battery,2019-01-01 06:00:00,32211592.06358438
netherlands,battery,2019-01-01 07:00:00,40478567.41211203
netherlands,battery,2019-01-01 08:00:00,40478567.41211203
netherlands,battery,2019-01-01 09:00:00,40478567.41211203
netherlands,battery,2019-01-01 10:00:00,40478567.41211203
netherlands,battery,2019-01-01 11:00:00,40478567.41211203
netherlands,battery,2019-01-01 12:00:00,40478567.41211203
netherlands,battery,2019-01-01 13:00:00,40478567.41211203
netherlands,battery,2019-01-01 14:00:00,40478567.41211203
netherlands,battery,2019-01-01 15:00:00,40478567.41211203
netherlands,battery,2019-01-01 16:00:00,40478567.41211203
netherlands,battery,2019-01-01 17:00:00,40478567.41211203
netherlands,battery,2019-01-01 18:00:00,40478567.41211203
netherlands,battery,2019-01-01 19:00:00,40478567.41211203
netherlands,battery,2019-01-01 20:00:00,40478567.41211203
netherlands,battery,2019-01-01 21:00:00,40478567.41211203
netherlands,battery,2019-01-01 22:00:00,40478567.41211203
netherlands,battery,2019-01-01 23:00:00,40478567.41211203
netherlands,battery,2019-01-02 00:00:00,40478567.41211203
netherlands,battery,2019-01-02 01:00:00,40478567.41211203
netherlands,battery,2019-01-02 02:00:00,40478567.41211203
netherlands,battery,2019-01-02 03:00:00,40478567.41211203
netherlands,battery,2019-01-02 04:00:00,40478567.41211203
netherlands,battery,2019-01-02 05:00:00,40478567.41211203
netherlands,battery,2019-01-02 06:00:00,40478567.41211203
netherlands,battery,2019-01-02 07:00:00,40478567.41211203
netherlands,battery,2019-01-02 08:00:00,40478567.41211203
netherlands,battery,2019-01-02 09:00:00,40478567.41211203
netherlands,battery,2019-01-02 10:00:00,41034369.33733404
netherlands,battery,2019-01-02 11:00:00,43481079.00177306
netherlands,battery,2019-01-02 12:00:00,45216271.74417904
netherlands,battery,2019-01-02 13:00:00,45216271.74417904
netherlands,battery,2019-01-02 14:00:00,45216271.74417904
netherlands,battery,2019-01-02 15:00:00,45216271.74417904
netherlands,battery,2019-01-02 16:00:00,45099667.81024321
netherlands,battery,2019-01-02 17:00:00,44255465.06541876
netherlands,battery,2019-01-02 18:00:00,42273491.568276286
netherlands,battery,2019-01-02 19:00:00,40024912.61126043
netherlands,battery,2019-01-02 20:00:00,38334154.950310186
netherlands,battery,2019-01-02 21:00:00,37627712.860120095
netherlands,battery,2019-01-02 22:00:00,37627712.860120095
netherlands,battery,2019-01-02 23:00:00,38538245.58498251
netherlands,battery,2019-01-03 00:00:00,39283659.73208085
netherlands,battery,2019-01-03 01:00:00,39739526.47501399
netherlands,battery,2019-01-03 02:00:00,39972676.79210315
netherlands,battery,2019-01-03 03:00:00,40952504.627505146
netherlands,battery,2019-01-03 04:00:00,42630935.44215016
netherlands,battery,2019-01-03 05:00:00,43734255.543407194
netherlands,battery,2019-01-03 06:00:00,43574184.07522934
netherlands,battery,2019-01-03 07:00:00,42081249.56898829
netherlands,battery,2019-01-03 08:00:00,41023637.36695618
netherlands,battery,2019-01-03 09:00:00,40886307.91815892
netherlands,battery,2019-01-03 10:00:00,41348717.732894726
netherlands,battery,2019-01-03 11:00:00,43703001.74755917
netherlands,battery,2019-01-03 12:00:00,45216271.74417904
netherlands,battery,2019-01-03 13:00:00,43639917.80487075
netherlands,battery,2019-01-03 14:00:00,39955338.45397006
netherlands,battery,2019-01-03 15:00:00,35980822.74493507
netherlands,battery,2019-01-03 16:00:00,32253412.892396845
netherlands,battery,2019-01-03 17:00:00,29637519.138560202
netherlands,battery,2019-01-03 18:00:00,26413019.82111646
netherlands,battery,2019-01-03 19:00:00,21497786.212375328
netherlands,battery,2019-01-03 20:00:00,16740774.726776186
netherlands,battery,2019-01-03 21:00:00,13646879.13287099
netherlands,battery,2019-01-03 22:00:00,11147512.028469002
netherlands,battery,2019-01-03 23:00:00,8183368.883647841
netherlands,battery,2019-01-04 00:00:00,4907680.562811438
