timesteps,nodes,techs,sink_use_equals
2019-01-01 00:00:00,netherlands,demand_power,11194.0
2019-01-01 01:00:00,netherlands,demand_power,10933.0
2019-01-01 02:00:00,netherlands,demand_power,10667.0
2019-01-01 03:00:00,netherlands,demand_power,10413.0
2019-01-01 04:00:00,netherlands,demand_power,10441.0
2019-01-01 05:00:00,netherlands,demand_power,10670.0
2019-01-01 06:00:00,netherlands,demand_power,10899.0
2019-01-01 07:00:00,netherlands,demand_power,11161.0
2019-01-01 08:00:00,netherlands,demand_power,11463.0
2019-01-01 09:00:00,netherlands,demand_power,11837.0
2019-01-01 10:00:00,netherlands,demand_power,12258.0
2019-01-01 11:00:00,netherlands,demand_power,12493.0
2019-01-01 12:00:00,netherlands,demand_power,12610.0
2019-01-01 13:00:00,netherlands,demand_power,12587.0
2019-01-01 14:00:00,netherlands,demand_power,12709.0
2019-01-01 15:00:00,netherlands,demand_power,13077.0
2019-01-01 16:00:00,netherlands,demand_power,14079.0
2019-01-01 17:00:00,netherlands,demand_power,13950.0
2019-01-01 18:00:00,netherlands,demand_power,13678.0
2019-01-01 19:00:00,netherlands,demand_power,13311.0
2019-01-01 20:00:00,netherlands,demand_power,12762.0
2019-01-01 21:00:00,netherlands,demand_power,12222.0
2019-01-01 22:00:00,netherlands,demand_power,11522.0
2019-01-01 23:00:00,netherlands,demand_power,11056.0
2019-01-02 00:00:00,netherlands,demand_power,10727.0
2019-01-02 01:00:00,netherlands,demand_power,10573.0
2019-01-02 02:00:00,netherlands,demand_power,10512.0
2019-01-02 03:00:00,netherlands,demand_power,10607.0
2019-01-02 04:00:00,netherlands,demand_power,11109.0
2019-01-02 05:00:00,netherlands,demand_power,12300.0
2019-01-02 06:00:00,netherlands,demand_power,13753.0
2019-01-02 07:00:00,netherlands,demand_power,15030.0
2019-01-02 08:00:00,netherlands,demand_power,15713.0
2019-01-02 09:00:00,netherlands,demand_power,15788.0
2019-01-02 10:00:00,netherlands,demand_power,15929.0
2019-01-02 11:00:00,netherlands,demand_power,15857.0
