nodes,techs,carriers,flow_cap
netherlands,battery,power,17773.37151640521
netherlands,demand_power,power,17863.0
netherlands,electrolyser,hydrogen,5659.185623383751
netherlands,electrolyser,power,8706.439420590385
netherlands,h2_elec_conversion,hydrogen,25260.192407895873
netherlands,h2_elec_conversion,power,14145.70774842169
netherlands,h2_salt_cavern,hydrogen,25260.192407895873
netherlands,nuclear,power,1650.0
netherlands,offshore_wind,power,24334.626455923666
netherlands,onshore_wind,power,16000.0
netherlands,solar,power,39938.30858170358
