techs,carriers,systemwide_capacity_factor
battery,hydrogen,0.0
battery,power,0.05822452311433084
demand_power,hydrogen,0.0
demand_power,power,0.0
electrolyser,hydrogen,0.563452651182347
electrolyser,power,0.0
h2_elec_conversion,hydrogen,0.0
h2_elec_conversion,power,0.113900863448873
h2_salt_cavern,hydrogen,0.113900863448873
h2_salt_cavern,power,0.0
nuclear,hydrogen,0.0
nuclear,power,0.8
offshore_wind,hydrogen,0.0
offshore_wind,power,0.1910997523800703
onshore_wind,hydrogen,0.0
onshore_wind,power,0.20951949263179598
solar,hydrogen,0.0
solar,power,0.1131775172017658
