techs,carriers,systemwide_capacity_factor
battery,hydrogen,0.0
battery,power,0.013664303270390006
demand_power,hydrogen,0.0
demand_power,power,0.0
electrolyser,hydrogen,0.45698136858835436
electrolyser,power,0.0
h2_elec_conversion,hydrogen,0.0
h2_elec_conversion,power,0.11983729413434628
h2_salt_cavern,hydrogen,0.11983729413434636
h2_salt_cavern,power,0.0
nuclear,hydrogen,0.0
nuclear,power,0.8197200080359011
offshore_wind,hydrogen,0.0
offshore_wind,power,0.24735726016822457
onshore_wind,hydrogen,0.0
onshore_wind,power,0.23523852521846905
solar,hydrogen,0.0
solar,power,0.12616895548977491
