techs,carriers,systemwide_capacity_factor
battery,hydrogen,0.0
battery,power,0.01193037893976635
demand_power,hydrogen,0.0
demand_power,power,0.0
electrolyser,hydrogen,0.4548935763869385
electrolyser,power,0.0
h2_elec_conversion,hydrogen,0.0
h2_elec_conversion,power,0.11565973484959195
h2_salt_cavern,hydrogen,0.11565973484959198
h2_salt_cavern,power,0.0
nuclear,hydrogen,0.0
nuclear,power,0.8000000000000002
offshore_wind,hydrogen,0.0
offshore_wind,power,0.21221346166416905
onshore_wind,hydrogen,0.0
onshore_wind,power,0.21311245478764407
solar,hydrogen,0.0
solar,power,0.11594405150425123
