,nodes,techs,costs,Value,source_model
0,netherlands,battery,monetary,1585.6596645691911,reference_full_horizon_2010_2019
1,netherlands,electrolyser,monetary,27866.790509847273,reference_full_horizon_2010_2019
2,netherlands,h2_elec_conversion,monetary,18834.971615751838,reference_full_horizon_2010_2019
3,netherlands,h2_salt_cavern,monetary,36597.67156524233,reference_full_horizon_2010_2019
4,netherlands,nuclear,monetary,15251.89954430678,reference_full_horizon_2010_2019
5,netherlands,offshore_wind,monetary,76781.83541745563,reference_full_horizon_2010_2019
6,netherlands,onshore_wind,monetary,22455.32845915605,reference_full_horizon_2010_2019
7,netherlands,solar,monetary,34727.12706312909,reference_full_horizon_2010_2019
0,netherlands,battery,monetary,1016.0407059337231,results_plan_cluster_2010_2011_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29667.715052860505,results_plan_cluster_2010_2011_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18962.13233209834,results_plan_cluster_2010_2011_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24064.95727514723,results_plan_cluster_2010_2011_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2010_2011_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,84149.5189391862,results_plan_cluster_2010_2011_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22492.055305953192,results_plan_cluster_2010_2011_weights_1_9.netcdf
7,netherlands,solar,monetary,28484.116122582334,results_plan_cluster_2010_2011_weights_1_9.netcdf
0,netherlands,battery,monetary,1024.8304590473754,results_plan_cluster_2010_2012_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31791.819730786803,results_plan_cluster_2010_2012_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19031.164408600886,results_plan_cluster_2010_2012_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,25283.889933154693,results_plan_cluster_2010_2012_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15305.248998892768,results_plan_cluster_2010_2012_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,82803.4161122857,results_plan_cluster_2010_2012_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22518.561682168904,results_plan_cluster_2010_2012_weights_1_9.netcdf
7,netherlands,solar,monetary,30118.82500466844,results_plan_cluster_2010_2012_weights_1_9.netcdf
0,netherlands,battery,monetary,1016.0067195193457,results_plan_cluster_2010_2013_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,30904.39554355802,results_plan_cluster_2010_2013_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18988.440172295643,results_plan_cluster_2010_2013_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,28331.73452493025,results_plan_cluster_2010_2013_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15256.322112468213,results_plan_cluster_2010_2013_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,83100.2183249731,results_plan_cluster_2010_2013_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22459.979559859636,results_plan_cluster_2010_2013_weights_1_9.netcdf
7,netherlands,solar,monetary,30339.427466330344,results_plan_cluster_2010_2013_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.4598450055885,results_plan_cluster_2010_2014_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,32598.390592912125,results_plan_cluster_2010_2014_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19011.402968156402,results_plan_cluster_2010_2014_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,19483.847474017668,results_plan_cluster_2010_2014_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15254.027765781353,results_plan_cluster_2010_2014_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,79280.18945971098,results_plan_cluster_2010_2014_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22464.901359863543,results_plan_cluster_2010_2014_weights_1_9.netcdf
7,netherlands,solar,monetary,32192.595692444236,results_plan_cluster_2010_2014_weights_1_9.netcdf
0,netherlands,battery,monetary,1015.7270762918146,results_plan_cluster_2010_2015_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31319.349801893753,results_plan_cluster_2010_2015_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18905.16330728561,results_plan_cluster_2010_2015_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,24062.878786056444,results_plan_cluster_2010_2015_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2010_2015_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78672.93525925993,results_plan_cluster_2010_2015_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22528.080895794734,results_plan_cluster_2010_2015_weights_1_9.netcdf
7,netherlands,solar,monetary,30159.351444777538,results_plan_cluster_2010_2015_weights_1_9.netcdf
0,netherlands,battery,monetary,1024.5292925716205,results_plan_cluster_2010_2016_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,29840.47625067785,results_plan_cluster_2010_2016_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19052.131501658776,results_plan_cluster_2010_2016_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,26197.040300368037,results_plan_cluster_2010_2016_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15281.13374387145,results_plan_cluster_2010_2016_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,90034.52728905753,results_plan_cluster_2010_2016_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22463.35515114224,results_plan_cluster_2010_2016_weights_1_9.netcdf
7,netherlands,solar,monetary,31145.047001159848,results_plan_cluster_2010_2016_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.3063654497465,results_plan_cluster_2010_2017_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31901.68954002196,results_plan_cluster_2010_2017_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,19033.198287328505,results_plan_cluster_2010_2017_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,30404.497895028515,results_plan_cluster_2010_2017_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15263.80191943262,results_plan_cluster_2010_2017_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,83262.81945762006,results_plan_cluster_2010_2017_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22452.48808637424,results_plan_cluster_2010_2017_weights_1_9.netcdf
7,netherlands,solar,monetary,31723.61369173383,results_plan_cluster_2010_2017_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.5069529293368,results_plan_cluster_2010_2018_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31968.570161078536,results_plan_cluster_2010_2018_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18956.81769453453,results_plan_cluster_2010_2018_weights_1_9.netcdf
3,netherlands,h2_salt_cavern,monetary,21530.768441691424,results_plan_cluster_2010_2018_weights_1_9.netcdf
4,netherlands,nuclear,monetary,15243.546915859733,results_plan_cluster_2010_2018_weights_1_9.netcdf
5,netherlands,offshore_wind,monetary,78729.47766478898,results_plan_cluster_2010_2018_weights_1_9.netcdf
6,netherlands,onshore_wind,monetary,22443.31562177647,results_plan_cluster_2010_2018_weights_1_9.netcdf
7,netherlands,solar,monetary,31229.693401189466,results_plan_cluster_2010_2018_weights_1_9.netcdf
0,netherlands,battery,monetary,1022.2138968597776,results_plan_cluster_2010_2019_weights_1_9.netcdf
1,netherlands,electrolyser,monetary,31668.99757257406,results_plan_cluster_2010_2019_weights_1_9.netcdf
2,netherlands,h2_elec_conversion,monetary,18952.78865389629,results_plan_cluster_2010_2019_weights_1_9.netcdf
