,nodes,techs,carriers,Value,source_model
0,netherlands,battery,power,3644.6380608241734,reference_full_horizon_2010_2019
1,netherlands,demand_power,power,18950.0,reference_full_horizon_2010_2019
2,netherlands,electrolyser,hydrogen,7024.1332524159325,reference_full_horizon_2010_2019
3,netherlands,electrolyser,power,10806.358849870665,reference_full_horizon_2010_2019
4,netherlands,h2_elec_conversion,hydrogen,27959.70919375416,reference_full_horizon_2010_2019
5,netherlands,h2_elec_conversion,power,15657.43714850233,reference_full_horizon_2010_2019
6,netherlands,h2_salt_cavern,hydrogen,27959.70919375416,reference_full_horizon_2010_2019
7,netherlands,nuclear,power,1650.0,reference_full_horizon_2010_2019
8,netherlands,offshore_wind,power,26555.814931913803,reference_full_horizon_2010_2019
9,netherlands,onshore_wind,power,16000.0,reference_full_horizon_2010_2019
10,netherlands,solar,power,50036.028318000834,reference_full_horizon_2010_2019
0,netherlands,battery,power,2336.607855580501,results_plan_cluster_2010_2011_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2011_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7482.173809891259,results_plan_cluster_2010_2011_weights_1_9.netcdf
3,netherlands,electrolyser,power,11511.036630601937,results_plan_cluster_2010_2011_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28212.672845289824,results_plan_cluster_2010_2011_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15799.096793362303,results_plan_cluster_2010_2011_weights_1_9.netcdf
6,netherlands,h2_salt_cavern,hydrogen,28212.672845289824,results_plan_cluster_2010_2011_weights_1_9.netcdf
7,netherlands,nuclear,power,1650.0,results_plan_cluster_2010_2011_weights_1_9.netcdf
8,netherlands,offshore_wind,power,29032.066376967105,results_plan_cluster_2010_2011_weights_1_9.netcdf
9,netherlands,onshore_wind,power,16000.0,results_plan_cluster_2010_2011_weights_1_9.netcdf
10,netherlands,solar,power,41063.3735233548,results_plan_cluster_2010_2011_weights_1_9.netcdf
0,netherlands,battery,power,2350.9836159608485,results_plan_cluster_2010_2012_weights_1_9.netcdf
1,netherlands,demand_power,power,18950.0,results_plan_cluster_2010_2012_weights_1_9.netcdf
2,netherlands,electrolyser,hydrogen,7998.149831277408,results_plan_cluster_2010_2012_weights_1_9.netcdf
3,netherlands,electrolyser,power,12304.845894272936,results_plan_cluster_2010_2012_weights_1_9.netcdf
4,netherlands,h2_elec_conversion,hydrogen,28208.571428571424,results_plan_cluster_2010_2012_weights_1_9.netcdf
5,netherlands,h2_elec_conversion,power,15796.8,results_plan_cluster_2010_2012_weights_1_9.netcdf
