,nodes,techs,Value,source_model
0,netherlands,battery,1214.8793536080577,reference_full_horizon_2010_2019
1,netherlands,h2_salt_cavern,11465509.325063242,reference_full_horizon_2010_2019
0,netherlands,battery,778.8692851935003,results_plan_cluster_2010_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7543326.327365019,results_plan_cluster_2010_2011_weights_1_9.netcdf
0,netherlands,battery,783.6612053202828,results_plan_cluster_2010_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7905915.113073731,results_plan_cluster_2010_2012_weights_1_9.netcdf
0,netherlands,battery,778.8315759140442,results_plan_cluster_2010_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8880776.99446135,results_plan_cluster_2010_2013_weights_1_9.netcdf
0,netherlands,battery,783.7788589604439,results_plan_cluster_2010_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6107345.960713854,results_plan_cluster_2010_2014_weights_1_9.netcdf
0,netherlands,battery,778.6772719757604,results_plan_cluster_2010_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7542674.810667923,results_plan_cluster_2010_2015_weights_1_9.netcdf
0,netherlands,battery,783.3930644845109,results_plan_cluster_2010_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8191444.329810044,results_plan_cluster_2010_2016_weights_1_9.netcdf
0,netherlands,battery,783.6364206566318,results_plan_cluster_2010_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,9530498.925038284,results_plan_cluster_2010_2017_weights_1_9.netcdf
0,netherlands,battery,783.7993672479507,results_plan_cluster_2010_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6748967.412559729,results_plan_cluster_2010_2018_weights_1_9.netcdf
0,netherlands,battery,783.6134357365656,results_plan_cluster_2010_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6616234.642602239,results_plan_cluster_2010_2019_weights_1_9.netcdf
0,netherlands,battery,778.8640396920666,results_plan_cluster_2011_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7557890.665434209,results_plan_cluster_2011_2010_weights_1_9.netcdf
0,netherlands,battery,778.8692851935003,results_plan_cluster_2011_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,7543326.327365038,results_plan_cluster_2011_2010_weights_9_1.netcdf
0,netherlands,battery,1029.1253860053812,results_plan_cluster_2011_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4862221.992033871,results_plan_cluster_2011_2012_weights_1_9.netcdf
0,netherlands,battery,1248.3734042471212,results_plan_cluster_2011_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4237010.576097655,results_plan_cluster_2011_2013_weights_1_9.netcdf
0,netherlands,battery,870.8985042507747,results_plan_cluster_2011_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5016339.2222751,results_plan_cluster_2011_2014_weights_1_9.netcdf
0,netherlands,battery,1141.0166399226339,results_plan_cluster_2011_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4221379.551593531,results_plan_cluster_2011_2015_weights_1_9.netcdf
0,netherlands,battery,1191.275777925535,results_plan_cluster_2011_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7606633.39667449,results_plan_cluster_2011_2016_weights_1_9.netcdf
0,netherlands,battery,1706.6966983007767,results_plan_cluster_2011_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4867151.947046561,results_plan_cluster_2011_2017_weights_1_9.netcdf
0,netherlands,battery,1251.0749483044353,results_plan_cluster_2011_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,3839870.0819490966,results_plan_cluster_2011_2018_weights_1_9.netcdf
0,netherlands,battery,1009.7499360098541,results_plan_cluster_2011_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4906898.428520666,results_plan_cluster_2011_2019_weights_1_9.netcdf
0,netherlands,battery,783.6618213494617,results_plan_cluster_2012_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,7906298.875285503,results_plan_cluster_2012_2010_weights_1_9.netcdf
0,netherlands,battery,783.6612053202828,results_plan_cluster_2012_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,7905915.113073745,results_plan_cluster_2012_2010_weights_9_1.netcdf
0,netherlands,battery,1029.1916595169514,results_plan_cluster_2012_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4862474.290595241,results_plan_cluster_2012_2011_weights_1_9.netcdf
0,netherlands,battery,726.2349436226586,results_plan_cluster_2012_2013_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5771022.263726866,results_plan_cluster_2012_2013_weights_1_9.netcdf
0,netherlands,battery,948.1482066539321,results_plan_cluster_2012_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4608147.841143451,results_plan_cluster_2012_2014_weights_1_9.netcdf
0,netherlands,battery,1143.5945570329213,results_plan_cluster_2012_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5163149.637069409,results_plan_cluster_2012_2015_weights_1_9.netcdf
0,netherlands,battery,1002.8528296344358,results_plan_cluster_2012_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5308159.912223061,results_plan_cluster_2012_2016_weights_1_9.netcdf
0,netherlands,battery,844.818751455199,results_plan_cluster_2012_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,6186652.149466702,results_plan_cluster_2012_2017_weights_1_9.netcdf
0,netherlands,battery,1096.6444793136948,results_plan_cluster_2012_2018_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4981786.14652754,results_plan_cluster_2012_2018_weights_1_9.netcdf
0,netherlands,battery,747.555175204048,results_plan_cluster_2012_2019_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5695002.041311845,results_plan_cluster_2012_2019_weights_1_9.netcdf
0,netherlands,battery,778.8314223425062,results_plan_cluster_2013_2010_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,8881375.294404656,results_plan_cluster_2013_2010_weights_1_9.netcdf
0,netherlands,battery,778.8315759140442,results_plan_cluster_2013_2010_weights_9_1.netcdf
1,netherlands,h2_salt_cavern,8880776.994461348,results_plan_cluster_2013_2010_weights_9_1.netcdf
0,netherlands,battery,1248.3235407619054,results_plan_cluster_2013_2011_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4237482.998549347,results_plan_cluster_2013_2011_weights_1_9.netcdf
0,netherlands,battery,725.560773525561,results_plan_cluster_2013_2012_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5776384.259006508,results_plan_cluster_2013_2012_weights_1_9.netcdf
0,netherlands,battery,841.32892677746,results_plan_cluster_2013_2014_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,5571541.4787978,results_plan_cluster_2013_2014_weights_1_9.netcdf
0,netherlands,battery,656.924972399138,results_plan_cluster_2013_2015_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4563124.859819104,results_plan_cluster_2013_2015_weights_1_9.netcdf
0,netherlands,battery,1249.4212735683564,results_plan_cluster_2013_2016_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,10231455.034349112,results_plan_cluster_2013_2016_weights_1_9.netcdf
0,netherlands,battery,599.7661887269178,results_plan_cluster_2013_2017_weights_1_9.netcdf
1,netherlands,h2_salt_cavern,4888743.786516596,results_plan_cluster_2013_2017_weights_1_9.netcdf
0,netherlands,battery,1068.7484903853788,results_plan_cluster_2013_2018_weights_1_9.netcdf
